Conference,paperIdx,tableIdx,rowIdx,colIdx,type,sc_ch_semantic_0,sc_ch_raw,sc_ch_raw_type,human_Check,obj_cell_values,tableLink,paperLink,semantic_0_clean,semantic_1
Nicotine & Tobacco Research,138,2,8,0,sbjCol,Race/Ethnicity,American Indian,,,"0.69 (0.55, 0.86); 0.85 (0.64, 1.13)",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/36562898,http://dx.doi.org/10.1093/ntr/ntu239,Race/Ethnicity,American Indian and Alaska Native; 
Nicotine & Tobacco Research,138,2,9,0,sbjCol,Race/Ethnicity,Other,,,"0.68 (0.51, 0.92); 0.89 (0.63, 1.27)",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/36562898,http://dx.doi.org/10.1093/ntr/ntu239,Race/Ethnicity,Others; 
Nicotine & Tobacco Research,138,2,22,0,sbjCol,Type of tobacco used,Other,,,"1.22 (0.85, 1.77); 1.19 (0.77, 1.85)",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/36562898,http://dx.doi.org/10.1093/ntr/ntu239,Race/Ethnicity,Others; 
Nicotine & Tobacco Research,140,1,9,0,sbjCol,Race/Ethnicity,Race (%),,,,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/36564047,http://dx.doi.org/10.1093/ntr/ntu270,Race/Ethnicity,
Nicotine & Tobacco Research,140,1,10,0,sbjCol,Race/Ethnicity,White,,,48,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/36564047,http://dx.doi.org/10.1093/ntr/ntu270,Race/Ethnicity,White; 
Nicotine & Tobacco Research,140,1,11,0,sbjCol,Race/Ethnicity,Black,,,41,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/36564047,http://dx.doi.org/10.1093/ntr/ntu270,Race/Ethnicity,Black or African American; 
Nicotine & Tobacco Research,140,1,12,0,sbjCol,Race/Ethnicity,Other,,,11,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/36564047,http://dx.doi.org/10.1093/ntr/ntu270,Race/Ethnicity,Others; 
Nicotine & Tobacco Research,140,1,16,0,sbjCol,Employment status,Not employed,,,62,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/36564047,http://dx.doi.org/10.1093/ntr/ntu270,Race/Ethnicity,not-Stated; 
Nicotine & Tobacco Research,140,2,2,0,sbjCol,Demographic factors,Non-White,,,1.5; 0.9–2.6; .11,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/36564050,http://dx.doi.org/10.1093/ntr/ntu270,Race/Ethnicity,Non-White; 
Nicotine & Tobacco Research,143,1,0,1,colHd,Race/Ethnicity,"Non-Hispanic White Male ( n = 18,373) n",,,"; Education level; 1414; 5175; 6299; 5483; 3222; 8004; Smoking consumption; 2244; 5760; 2734; Time 2 (1999–2008) N = 53, 005; Non-Hispanic White; Male ( n = 15,274); n; ; Education level; 858; 3923; 5464; 4928; 10284; 5334; Smoking consumption; 2242; 3092; 3413",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/36553218,http://dx.doi.org/10.1093/ntr/ntu221,Race/Ethnicity,White; non-Hispanic
Nicotine & Tobacco Research,143,1,0,2,colHd,Race/Ethnicity,"Non-Hispanic White Male ( n = 18,373) % (95% CL a )",,,"42.89 (42.60, 43.18); Education level; 12.45 (9.84, 15.06); 28.19 (26.32, 30.07); 28.87 (27.81, 29.92); 30.49 (29.70, 31.28); 59.39 (58.00, 60.78); 26.65 (25.75, 27.54); Smoking consumption; 27.97 (26.92, 29.01); 72.04 (70.99, 73.08); 26.05 (25.11, 26.98); Time 2 (1999–2008) N = 53, 005; Non-Hispanic White; Male ( n = 15,274); % (95% CL); 46.82 (46.34, 47.30); Education level; 6.08 (5.55, 6.61); 20.69 (19.65, 21.72); 30.22 (28.56, 31.88); 43.02 (41.43, 44.60); 50.47 (49.13, 51.81); 16.96 (16.40, 17.53); Smoking consumption; 44.47 (42.64, 46.29); 55.53 (53.71, 57.36); 64.47 (62.65, 66.29)",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/36553218,http://dx.doi.org/10.1093/ntr/ntu221,Race/Ethnicity,White; non-Hispanic
Nicotine & Tobacco Research,143,1,0,3,colHd,Race/Ethnicity,"Non-Hispanic White Female ( n = 21,112) n",,,"; Education level; 1600; 6786; 7901; 4823; 3370; 8858; Smoking consumption; 3384; 5474; 615; Time 2 (1999–2008) N = 53, 005; Non-Hispanic White; Female ( n = 17,992); n; ; Education level; 958; 4665; 6951; 5297; 11351; 5931; Smoking consumption; 3104; 2827; 1068",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/36553218,http://dx.doi.org/10.1093/ntr/ntu221,Race/Ethnicity,White; non-Hispanic
Nicotine & Tobacco Research,143,1,0,4,colHd,Race/Ethnicity,"Non-Hispanic White Female ( n = 21,112) % (95% CL)",,,"46.45 (46.22, 46.68); Education level; 13.23 (11.48, 14.98); 32.61 (30.92, 34.30); 31.96 (31.19, 32.73); 22.20 (21.52, 22.89); 47.52 (45.58, 49.46); 23.38 (22.66, 24.10); Smoking consumption; 36.97 (35.40, 38.54); 63.03 (61.46, 64.60); 4.94 (4.500, 5.380); Time 2 (1999–2008) N = 53, 005; Non-Hispanic White; Female ( n = 17,992); % (95% CL); 49.36 (48.87, 49.86); Education level; 6.45 (5.95, 6.96); 24.55 (23.51, 25.59); 32.25 (31.10, 33.41); 36.74 (35.31, 38.17); 42.74 (41.86, 43.61); 13.88 (13.38, 14.38); Smoking consumption; 54.22 (52.51, 55.93); 45.78 (44.07, 47.49); 19.05 (17.74, 20.36)",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/36553218,http://dx.doi.org/10.1093/ntr/ntu221,Race/Ethnicity,White; non-Hispanic
Nicotine & Tobacco Research,145,1,5,0,sbjCol,Race/Ethnicity,Race,,,; ; ; <.001,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53617993,http://dx.doi.org/10.1093/ntr/ntu164,Race/Ethnicity,
Nicotine & Tobacco Research,145,1,6,0,sbjCol,Race/Ethnicity,Non-Hispanic White,,,74.9% (554); 4.6 (1.9); ; ,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53617993,http://dx.doi.org/10.1093/ntr/ntu164,Race/Ethnicity,White; non-Hispanic
Nicotine & Tobacco Research,145,1,7,0,sbjCol,Race/Ethnicity,Non-Hispanic Black,,,10.7% (79); 5.7 (1.4); ; ,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53617993,http://dx.doi.org/10.1093/ntr/ntu164,Race/Ethnicity,Black or African American; non-Hispanic
Nicotine & Tobacco Research,145,1,8,0,sbjCol,Race/Ethnicity,Other minority,,,14.4% (107); 5.3 (1.6); ; ,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53617993,http://dx.doi.org/10.1093/ntr/ntu164,Race/Ethnicity,Others; 
Nicotine & Tobacco Research,145,1,15,0,sbjCol,Marital status,Other,,,4.3% (32); 4.5 (2.0); ; ,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53617993,http://dx.doi.org/10.1093/ntr/ntu164,Race/Ethnicity,Others; 
Nicotine & Tobacco Research,145,1,38,0,sbjCol,Preferred brand,Other,,,21.0% (155); 4.4 (1.8); ; ,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53617993,http://dx.doi.org/10.1093/ntr/ntu164,Race/Ethnicity,Others; 
Nicotine & Tobacco Research,145,2,1,0,sbjCol,Race/Ethnicity,White race,,,"−.74 (−1.00, −.47); <.001; −.80 (−1.06, −.54); <.001",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53618003,http://dx.doi.org/10.1093/ntr/ntu164,Race/Ethnicity,White; 
Nicotine & Tobacco Research,145,2,2,0,sbjCol,Race/Ethnicity,Non-White race,,,Ref.; ; Ref.; ,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53618003,http://dx.doi.org/10.1093/ntr/ntu164,Race/Ethnicity,Non-White; 
Nicotine & Tobacco Research,147,1,3,0,sbjCol,Race/Ethnicity,Race,,,,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53630019,http://dx.doi.org/10.1093/ntr/ntu339,Race/Ethnicity,
Nicotine & Tobacco Research,147,1,4,0,sbjCol,Race/Ethnicity,White,,,89 (44%); 82 (44%); 7 (41%),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53630019,http://dx.doi.org/10.1093/ntr/ntu339,Race/Ethnicity,White; 
Nicotine & Tobacco Research,147,1,5,0,sbjCol,Race/Ethnicity,Black,,,85 (42%); 78 (42%); 7 (41%),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53630019,http://dx.doi.org/10.1093/ntr/ntu339,Race/Ethnicity,Black or African American; 
Nicotine & Tobacco Research,147,1,6,0,sbjCol,Race/Ethnicity,Other,,,28 (14%); 25 (14%); 3 (18%),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53630019,http://dx.doi.org/10.1093/ntr/ntu339,Race/Ethnicity,Others; 
Nicotine & Tobacco Research,147,3,17,0,sbjCol,Covariates,Black,,,–; 1.52 (0.92–2.49); –; –; 4.10 (2.10–7.99); –; –,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53630023,http://dx.doi.org/10.1093/ntr/ntu339,Race/Ethnicity,Black or African American; 
Nicotine & Tobacco Research,147,3,18,0,sbjCol,Covariates,Other,,,–; 1.00 (0.46–2.2); –; –; 10.66 (2.54–44.68); –; –,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53630023,http://dx.doi.org/10.1093/ntr/ntu339,Race/Ethnicity,Others; 
Nicotine & Tobacco Research,147,3,19,0,sbjCol,Covariates,White,,,–; 1.00; ; –; 1.00; –; –,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53630023,http://dx.doi.org/10.1093/ntr/ntu339,Race/Ethnicity,White; 
Nicotine & Tobacco Research,148,1,8,0,sbjCol,Race/Ethnicity,Race/ethnicity,,,Race/ethnicity; Race/ethnicity; Race/ethnicity,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53624308,http://dx.doi.org/10.1093/ntr/ntu244,Race/Ethnicity,
Nicotine & Tobacco Research,148,1,9,0,sbjCol,White,White,,,; ; 61.7,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53624308,http://dx.doi.org/10.1093/ntr/ntu244,Race/Ethnicity,White; 
Nicotine & Tobacco Research,148,1,10,0,sbjCol,White Black,Black,,,; ; 13.3,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53624308,http://dx.doi.org/10.1093/ntr/ntu244,Race/Ethnicity,Black or African American; 
Nicotine & Tobacco Research,148,1,11,0,sbjCol,Race/Ethnicity,Hispanic,,,; ; 16.5,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53624308,http://dx.doi.org/10.1093/ntr/ntu244,Race/Ethnicity,; Hispanic
Nicotine & Tobacco Research,148,1,12,0,sbjCol,Race/Ethnicity,Asian/Pacific islander,,,; ; 4.3,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53624308,http://dx.doi.org/10.1093/ntr/ntu244,Race/Ethnicity,Asian; Native Hawaiian and Other Pacific Islander; 
Nicotine & Tobacco Research,148,1,13,0,sbjCol,Other/unknown,Other/unknown,,,; ; 4.3,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53624308,http://dx.doi.org/10.1093/ntr/ntu244,Race/Ethnicity,Others; 
Nicotine & Tobacco Research,149,2,6,0,sbjCol,Race/Ethnicity,Race/ethnicity,,,,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/77027354,http://dx.doi.org/10.1093/ntr/ntu134,Race/Ethnicity,
Nicotine & Tobacco Research,149,2,7,0,sbjCol,Race/Ethnicity,Non-Hispanic White,,,53 (57); 62 (56); 55 (55); 56 (57),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/77027354,http://dx.doi.org/10.1093/ntr/ntu134,Race/Ethnicity,White; non-Hispanic
Nicotine & Tobacco Research,149,2,8,0,sbjCol,Race/Ethnicity,Non-Hispanic Black,,,13 (15); 11 (17); 13 (16); 16 (18),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/77027354,http://dx.doi.org/10.1093/ntr/ntu134,Race/Ethnicity,Black or African American; non-Hispanic
Nicotine & Tobacco Research,149,2,9,0,sbjCol,Race/Ethnicity,Hispanic,,,19 (20); 12 (18); 18 (20); 16 (18),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/77027354,http://dx.doi.org/10.1093/ntr/ntu134,Race/Ethnicity,; Hispanic
Nicotine & Tobacco Research,149,2,10,0,sbjCol,Race/Ethnicity,Other,,,15 (7); 15 (9); 14 (9); 12 (7),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/77027354,http://dx.doi.org/10.1093/ntr/ntu134,Race/Ethnicity,Others; 
Nicotine & Tobacco Research,150,2,4,0,sbjCol,Race/Ethnicity,Race (non-Whitea vs. White),,,0.13; 0.04; 2.01**; 0.16; 0.04; 2.25***; 0.03; 0.01; 1.14**,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53623705,http://dx.doi.org/10.1093/ntr/ntu243,Race/Ethnicity,
Nicotine & Tobacco Research,150,4,6,0,sbjCol,Flavors,Other,,,3.7; 4.0; 4.3; 2.7; 2.8; 2.5; 3.6; 2.7,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53623716,http://dx.doi.org/10.1093/ntr/ntu243,Race/Ethnicity,Others; 
Nicotine & Tobacco Research,151,2,1,0,sbjCol,White,White,,,Gender; −.01; 0.17; 0.01; 0.98; 0.93,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53622363,http://dx.doi.org/10.1093/ntr/ntu236,Race/Ethnicity,White; 
Nicotine & Tobacco Research,151,2,2,0,sbjCol,White,White,,1.0,Personal incomea; ; ; 8.56; ; 0.03,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53622363,http://dx.doi.org/10.1093/ntr/ntu236,Race/Ethnicity,White; 
Nicotine & Tobacco Research,151,2,3,0,sbjCol,White,White,,1.0,Below 25%; .52; 0.24; 4.7; 1.68; 0.03,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53622363,http://dx.doi.org/10.1093/ntr/ntu236,Race/Ethnicity,White; 
Nicotine & Tobacco Research,151,2,4,0,sbjCol,White,White,,1.0,Below 50%; .64; 0.24; 6.65; 1.9; 0.01,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53622363,http://dx.doi.org/10.1093/ntr/ntu236,Race/Ethnicity,White; 
Nicotine & Tobacco Research,151,2,5,0,sbjCol,White,White,,1.0,Below 75%; .39; 0.22; 3.14; 1.48; 0.07,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53622363,http://dx.doi.org/10.1093/ntr/ntu236,Race/Ethnicity,White; 
Nicotine & Tobacco Research,151,2,6,0,sbjCol,White,White,,1.0,Years smoking; .10; 0.03; 9.52; 1.1; 0.002,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53622363,http://dx.doi.org/10.1093/ntr/ntu236,Race/Ethnicity,White; 
Nicotine & Tobacco Research,151,2,7,0,sbjCol,White,White,,1.0,Days smoking last 30b; ; ; 5.68; ; 0.05,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53622363,http://dx.doi.org/10.1093/ntr/ntu236,Race/Ethnicity,White; 
Nicotine & Tobacco Research,151,2,8,0,sbjCol,White,White,,1.0,Infrequent (1–14 days); .54; 0.37; 2.2; 1.73; 0.13,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53622363,http://dx.doi.org/10.1093/ntr/ntu236,Race/Ethnicity,White; 
Nicotine & Tobacco Research,151,2,9,0,sbjCol,White,White,,1.0,Intermittent (15–27 days); −1.14; 0.48; 5.63; 0.31; 0.02,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53622363,http://dx.doi.org/10.1093/ntr/ntu236,Race/Ethnicity,White; 
Nicotine & Tobacco Research,151,2,10,0,sbjCol,White,White,,1.0,Cigarettes per dayc; ; ; 50.75; ; 0.0,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53622363,http://dx.doi.org/10.1093/ntr/ntu236,Race/Ethnicity,White; 
Nicotine & Tobacco Research,151,2,11,0,sbjCol,White,White,,1.0,Light smoker (1–10 cpd); −1.62; 0.22; 50.74; 0.19; 0.0,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53622363,http://dx.doi.org/10.1093/ntr/ntu236,Race/Ethnicity,White; 
Nicotine & Tobacco Research,151,2,12,0,sbjCol,White,White,,1.0,Moderate smoker (11–20 cpd); −.69; 0.25; 7.19; 0.5; 0.006999999999999999,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53622363,http://dx.doi.org/10.1093/ntr/ntu236,Race/Ethnicity,White; 
Nicotine & Tobacco Research,151,2,13,0,sbjCol,Black,Black,,,Gender; .41; 0.34; 1.41; 1.51; 0.23,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53622363,http://dx.doi.org/10.1093/ntr/ntu236,Race/Ethnicity,Black or African American; 
Nicotine & Tobacco Research,151,2,14,0,sbjCol,Black,Black,,1.0,Personal incomea; ; ; 9.59; ; 0.02,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53622363,http://dx.doi.org/10.1093/ntr/ntu236,Race/Ethnicity,Black or African American; 
Nicotine & Tobacco Research,151,2,15,0,sbjCol,Black,Black,,1.0,Below 25%; .75; 0.38; 3.87; 2.12; 0.04,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53622363,http://dx.doi.org/10.1093/ntr/ntu236,Race/Ethnicity,Black or African American; 
Nicotine & Tobacco Research,151,2,16,0,sbjCol,Black,Black,,1.0,Below 50%; 1.24; 0.45; 7.5; 3.46; 0.006,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53622363,http://dx.doi.org/10.1093/ntr/ntu236,Race/Ethnicity,Black or African American; 
Nicotine & Tobacco Research,151,2,17,0,sbjCol,Black,Black,,1.0,Below 75%; −.95; 0.62; 2.34; 0.38; 0.12,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53622363,http://dx.doi.org/10.1093/ntr/ntu236,Race/Ethnicity,Black or African American; 
Nicotine & Tobacco Research,151,2,18,0,sbjCol,Black,Black,,1.0,Years smoking; .09; 0.06; 2.05; 1.09; 0.15,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53622363,http://dx.doi.org/10.1093/ntr/ntu236,Race/Ethnicity,Black or African American; 
Nicotine & Tobacco Research,151,2,19,0,sbjCol,Black,Black,,1.0,Days smoking last 30b; ; ; 5.42; ; 0.06,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53622363,http://dx.doi.org/10.1093/ntr/ntu236,Race/Ethnicity,Black or African American; 
Nicotine & Tobacco Research,151,2,20,0,sbjCol,Black,Black,,1.0,Infrequent (1–14 days); −.14; 0.42; 0.1; 0.86; 0.74,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53622363,http://dx.doi.org/10.1093/ntr/ntu236,Race/Ethnicity,Black or African American; 
Nicotine & Tobacco Research,151,2,21,0,sbjCol,Black,Black,,1.0,Intermittent (15–27 days); −1.02; 0.5; 4.06; 0.35; 0.05,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53622363,http://dx.doi.org/10.1093/ntr/ntu236,Race/Ethnicity,Black or African American; 
Nicotine & Tobacco Research,151,2,22,0,sbjCol,Black,Black,,1.0,Cigarettes per dayc; ; ; 3.48; ; 0.17,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53622363,http://dx.doi.org/10.1093/ntr/ntu236,Race/Ethnicity,Black or African American; 
Nicotine & Tobacco Research,151,2,23,0,sbjCol,Black,Black,,1.0,Light smoker (1–10 cpd); −.31; 0.42; 0.56; 0.72; 0.45,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53622363,http://dx.doi.org/10.1093/ntr/ntu236,Race/Ethnicity,Black or African American; 
Nicotine & Tobacco Research,151,2,24,0,sbjCol,Black,Black,,1.0,Moderate smoker (11–20 cpd); .980; 0.69; 1.99; 2.66; 0.15,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53622363,http://dx.doi.org/10.1093/ntr/ntu236,Race/Ethnicity,Black or African American; 
Nicotine & Tobacco Research,151,3,1,0,sbjCol,Race/Ethnicity,Hispanic,,,Gender; −.16; 0.61; 0.07; 0.85; 0.79,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53622365,http://dx.doi.org/10.1093/ntr/ntu236,Race/Ethnicity,; Hispanic
Nicotine & Tobacco Research,151,3,2,0,sbjCol,Race/Ethnicity,Hispanic,,1.0,Personal incomea; ; ; 4.76; ; 0.19,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53622365,http://dx.doi.org/10.1093/ntr/ntu236,Race/Ethnicity,; Hispanic
Nicotine & Tobacco Research,151,3,3,0,sbjCol,Race/Ethnicity,Hispanic,,1.0,Below 25%; 1.26; 0.89; 1.98; 3.54; 0.15,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53622365,http://dx.doi.org/10.1093/ntr/ntu236,Race/Ethnicity,; Hispanic
Nicotine & Tobacco Research,151,3,4,0,sbjCol,Race/Ethnicity,Hispanic,,1.0,Below 50%; .31; 0.84; 0.14; 1.37; 0.7,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53622365,http://dx.doi.org/10.1093/ntr/ntu236,Race/Ethnicity,; Hispanic
Nicotine & Tobacco Research,151,3,5,0,sbjCol,Race/Ethnicity,Hispanic,,1.0,Below 75%; 1.16; 0.73; 2.51; 3.18; 0.11,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53622365,http://dx.doi.org/10.1093/ntr/ntu236,Race/Ethnicity,; Hispanic
Nicotine & Tobacco Research,151,3,6,0,sbjCol,Race/Ethnicity,Hispanic,,1.0,Years smoking; .20; 0.11; 3.63; 1.23; 0.05,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53622365,http://dx.doi.org/10.1093/ntr/ntu236,Race/Ethnicity,; Hispanic
Nicotine & Tobacco Research,151,3,7,0,sbjCol,Race/Ethnicity,Hispanic,,1.0,Days smoking last 30b; ; ; 1.8; ; 0.4,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53622365,http://dx.doi.org/10.1093/ntr/ntu236,Race/Ethnicity,; Hispanic
Nicotine & Tobacco Research,151,3,8,0,sbjCol,Race/Ethnicity,Hispanic,,1.0,Infrequent (1–14 days); .22; 0.92; 0.05; 1.25; 0.8,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53622365,http://dx.doi.org/10.1093/ntr/ntu236,Race/Ethnicity,; Hispanic
Nicotine & Tobacco Research,151,3,9,0,sbjCol,Race/Ethnicity,Hispanic,,1.0,Intermittent (15–27 days); −1.55; 1.17; 1.73; 0.21; 0.18,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53622365,http://dx.doi.org/10.1093/ntr/ntu236,Race/Ethnicity,; Hispanic
Nicotine & Tobacco Research,151,3,10,0,sbjCol,Race/Ethnicity,Hispanic,,1.0,Cigarettes per dayc; ; ; 8.01; ; 0.01,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53622365,http://dx.doi.org/10.1093/ntr/ntu236,Race/Ethnicity,; Hispanic
Nicotine & Tobacco Research,151,3,11,0,sbjCol,Race/Ethnicity,Hispanic,,1.0,Light smoker (1–10 cpd); −.90; 0.74; 1.45; 0.4; 0.22,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53622365,http://dx.doi.org/10.1093/ntr/ntu236,Race/Ethnicity,; Hispanic
Nicotine & Tobacco Research,151,3,12,0,sbjCol,Race/Ethnicity,Hispanic,,1.0,Moderate smoker (11–20 cpd); 1.95; 1.28; 2.31; 7.03; 0.12,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53622365,http://dx.doi.org/10.1093/ntr/ntu236,Race/Ethnicity,; Hispanic
Nicotine & Tobacco Research,151,3,13,0,sbjCol,White,White,,,Gender; .15; 0.14; 1.14; 1.16; 0.28,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53622365,http://dx.doi.org/10.1093/ntr/ntu236,Race/Ethnicity,White; 
Nicotine & Tobacco Research,151,3,14,0,sbjCol,White,White,,1.0,Personal incomea; ; ; 5.17; ; 0.15,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53622365,http://dx.doi.org/10.1093/ntr/ntu236,Race/Ethnicity,White; 
Nicotine & Tobacco Research,151,3,15,0,sbjCol,White,White,,1.0,Below 25%; .31; 0.18; 2.86; 1.36; 0.09,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53622365,http://dx.doi.org/10.1093/ntr/ntu236,Race/Ethnicity,White; 
Nicotine & Tobacco Research,151,3,16,0,sbjCol,White,White,,1.0,Below 50%; −.03; 0.19; 0.02; 0.96; 0.87,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53622365,http://dx.doi.org/10.1093/ntr/ntu236,Race/Ethnicity,White; 
Nicotine & Tobacco Research,151,3,17,0,sbjCol,White,White,,1.0,Below 75%; .25; 0.18; 1.95; 1.29; 0.16,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53622365,http://dx.doi.org/10.1093/ntr/ntu236,Race/Ethnicity,White; 
Nicotine & Tobacco Research,151,3,18,0,sbjCol,White,White,,1.0,Years smoking; .09; 0.02; 10.39; 1.09; 0.001,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53622365,http://dx.doi.org/10.1093/ntr/ntu236,Race/Ethnicity,White; 
Nicotine & Tobacco Research,151,3,19,0,sbjCol,White,White,,1.0,Days smoking last 30b; ; ; 33.99; ; 0.0,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53622365,http://dx.doi.org/10.1093/ntr/ntu236,Race/Ethnicity,White; 
Nicotine & Tobacco Research,151,3,20,0,sbjCol,White,White,,1.0,Infrequent (1–14 days); −.47; 0.27; 3.08; 0.62; 0.07,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53622365,http://dx.doi.org/10.1093/ntr/ntu236,Race/Ethnicity,White; 
Nicotine & Tobacco Research,151,3,21,0,sbjCol,White,White,,1.0,Intermittent (15–27 days); −1.21; 0.27; 19.2; 0.29; 0.0,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53622365,http://dx.doi.org/10.1093/ntr/ntu236,Race/Ethnicity,White; 
Nicotine & Tobacco Research,151,3,22,0,sbjCol,White,White,,1.0,Cigarettes per dayc; ; ; 115.89; ; 0.0,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53622365,http://dx.doi.org/10.1093/ntr/ntu236,Race/Ethnicity,White; 
Nicotine & Tobacco Research,151,3,23,0,sbjCol,White,White,,1.0,Light smoker (1–10 cpd); −1.67; 0.17; 87.32; 0.18; 0.0,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53622365,http://dx.doi.org/10.1093/ntr/ntu236,Race/Ethnicity,White; 
Nicotine & Tobacco Research,151,3,24,0,sbjCol,White,White,,1.0,Moderate smoker (11–20 cpd); −.17; 0.27; 0.38; 0.84; 0.53,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53622365,http://dx.doi.org/10.1093/ntr/ntu236,Race/Ethnicity,White; 
Nicotine & Tobacco Research,151,3,25,0,sbjCol,Black,Black,,,Gender; .15; 0.3; 0.24; 1.16; 0.61,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53622365,http://dx.doi.org/10.1093/ntr/ntu236,Race/Ethnicity,Black or African American; 
Nicotine & Tobacco Research,151,3,26,0,sbjCol,Black,Black,,1.0,Personal incomea; ; ; 8.22; ; 0.05,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53622365,http://dx.doi.org/10.1093/ntr/ntu236,Race/Ethnicity,Black or African American; 
