sc_ch_raw,tableLbink,sc_ch_raw_clean,semantic_0_clean,raceTerm,ethnicTerm
"Education, % college graduate or higher",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/123139297,education    college graduate or higher,,,
"Education, high school+",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/206835338,education  high school,,,
Education: some college or more,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/42805970,education  some college or more,,,
Eighth grade or less,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/82284807,eighth grade or less,,,
Employed,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/129567961,employed,,,
Employed (full or part-time),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/163623638,employed  full or part time,,,
Employed full or part-time,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/222876932,employed full or part time,,,
Employed full time,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/42805970,employed full time,,,
Employed full- or part-time,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/45376828,employed full  or part time,,,
"Employed, n (%)",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32939329,employed  n,,,
"Employment status, full-time",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/54730696,employment status  full time,,,
Enjoyment of Respiratory Tract Sensations at baseline (Mean (SD)),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/137015786,enjoyment of respiratory tract sensations at baseline  mean  sd,,,
Enrollment by race/ethnicity,"http://www.tobaccopreventioncessation.com/School-level-disadvantage-and-failed-cessation-treatment-namong-adolescent-smokers,87074,0,2.html#t0001",enrollment by race ethnicity,,,
Estonian,"http://www.tobaccopreventioncessation.com/Factors-associated-with-desire-to-quit-smoking-among-nEstonian-physicians-Cross-sectional,93009,0,2.html#t0001",estonian,,,
Ethnic minority,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/204606536,ethnic minority,,,
Ethnic minority group African Surinamese Offspring N = 481,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/116438172,ethnic minority group african surinamese offspring n   481,,,
Ethnic minority group African Surinamese Parent N = 481,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/116438172,ethnic minority group african surinamese parent n   481,,,
Ethnic minority group Ghanaian Offspring N = 191,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/116438172,ethnic minority group ghanaian offspring n   191,,,
Ethnic minority group Ghanaian Parent N = 191,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/116438172,ethnic minority group ghanaian parent n   191,,,
Ethnic minority group Moroccan Offspring N = 517,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/116438172,ethnic minority group moroccan offspring n   517,,,
Ethnic minority group Moroccan Parent N = 517,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/116438172,ethnic minority group moroccan parent n   517,,,
Ethnic minority group South-Asian Surinamese Offspring N = 498,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/116438172,ethnic minority group south asian surinamese offspring n   498,,,
Ethnic minority group South-Asian Surinamese Parent N = 498,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/116438172,ethnic minority group south asian surinamese parent n   498,,,
Ethnic minority group Turkish Offspring N = 497,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/116438172,ethnic minority group turkish offspring n   497,,,
Ethnic minority group Turkish Parent N = 497,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/116438172,ethnic minority group turkish parent n   497,,,
Ethnicity,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32953847,ethnicity,,,
Ethnicity (% Caucasian),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/20473405,ethnicity    caucasian,,,
Ethnicity (% European),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/45373810,ethnicity    european,,,
Ethnicity (% Hispanic),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/82286627,ethnicity    hispanic,,,
Ethnicity (%),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/115628746,ethnicity,,,
Ethnicity (Hispanic),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/101596545,ethnicity  hispanic,,,
Ethnicity (Hispanic/Latino),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/202712163,ethnicity  hispanic latino,,,
Ethnicity (n = 1842),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/202711129,ethnicity  n   1842,,,
Ethnicity (n = 927),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/209693318,ethnicity  n   927,,,
Ethnicity (n),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/119653969,ethnicity  n,,,
Ethnicity (n=1165),"http://www.tobaccoinduceddiseases.org/Perceptions-of-e-cigarettes-among-smokers-and-non-smokers-nin-households-with-children,133264,0,2.html#t0001",ethnicity  n 1165,,,
Ethnicity (n=662),"http://www.tobaccoinduceddiseases.org/To-text-or-not-to-text-Acceptability-of-WeChat-and-text-nmessaging-intervention-to,114089,0,2.html#t0001",ethnicity  n 662,,,
Ethnicity (ref: minority group),"http://www.tobaccopreventioncessation.com/Assessment-of-the-use-of-different-forms-of-tobacco-products-namong-Nigerian-adults,87126,0,2.html#t0003",ethnicity  ref  minority group,,,
Ethnicity (reference category is non-Hispanic),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/202649792,ethnicity  reference category is non hispanic,,,
Ethnicity (γ05 reference = not Hispanic or Latina/o),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/225688908,ethnicity  γ05 reference   not hispanic or latina o,,,
Ethnicity British/Irish white,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/113608848,ethnicity british irish white,,,
Ethnicity b,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/45375255,ethnicity b,,,
Ethnicity group,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/140385311,ethnicity group,,,
Ethnicity not reported,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/45374214,ethnicity not reported,,,
Ethnicity(n=2014),"http://www.tobaccopreventioncessation.com/Assessing-demographic-differences-in-decisional-balance-for-smoking-prevention-and-temptations-to-try-smoking-among-adolescent-subgroups,70562,0,2.html#t0001",ethnicity n 2014,,,
Ethnicity*,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53627518,ethnicity,,,
"Ethnicity, %",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/54736029,ethnicity,,,
"Ethnicity, %(n)",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/228111543,ethnicity    n,,,
"Ethnicity, Hispanic, N (%)",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/133790561,ethnicity  hispanic  n,,,
"Ethnicity, n (%)",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/87403054,ethnicity  n,,,
Ethnicity/race,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/119652995,ethnicity race,,,
Ethnicity: African American,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/137016284,ethnicity  african american,,,
Ethnicity: Asian,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/87410035,ethnicity  asian,,,
Ethnicity: Caucasian,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/204606526,ethnicity  caucasian,,,
Ethnicity: Hispanic,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/137016284,ethnicity  hispanic,,,
Ethnicity: Māori (ref: European/Other),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/87410035,ethnicity  māori  ref  european other,,,
Ethnicity: Other,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/137016284,ethnicity  other,,,
Ethnicity: Pacific,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/87410035,ethnicity  pacific,,,
Ethnicity: majority,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/222876052,ethnicity  majority,,,
Ethnicity: n (%),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/113606378,ethnicity  n,,,
Ethnicity—Hispanic,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/204606240,ethnicity hispanic,,,
Ethnicity—white: % ( n ),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/87410575,ethnicity white      n,,,
Europe,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/88243512,europe,,,
European,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/54736029,european,,,
European (E),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/42837026,european  e,,,
European (includes other),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/42814868,european  includes other,,,
European (n = 3),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/202619081,european  n   3,,,
European American,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/87406442,european american,,,
European Region,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/191023327,european region,,,
European Union Member States other than Sweden Max,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/202619347,european union member states other than sweden max,,,
European Union Member States other than Sweden Median,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/202619347,european union member states other than sweden median,,,
European Union Member States other than Sweden Min,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/202619347,european union member states other than sweden min,,,
European-Americans (N = 856),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/135893959,european americans  n   856,,,
Everyone else,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/116438218,everyone else,,,
"Excellent mobile phone signal most of the time, n (%)",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/183587281,excellent mobile phone signal most of the time  n,,,
Exercise (% ≥30 MPD on ≥5 DPW),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/36551215,exercise    ≥30 mpd on ≥5 dpw,,,
Exhaled carbon monoxide (parts per million),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/48912532,exhaled carbon monoxide  parts per million,,,
Expired breath CO,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33443064,expired breath co,,,
"Expired-air CO (ppm), mean (SD)",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/113606315,expired air co  ppm   mean  sd,,,
"Exposure to other forms of tobacco advertising,a mean (SD)",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/137016278,exposure to other forms of tobacco advertising a mean  sd,,,
"Exposure to point-of-sale tobacco advertising,b mean (SD)",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/137016278,exposure to point of sale tobacco advertising b mean  sd,,,
FTND,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33552065,ftnd,,,
FTND (Mean (SD)),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/137015786,ftnd  mean  sd,,,
FTND >5 (high dependence),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/95129519,ftnd  5  high dependence,,,
FTND score,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/42803868,ftnd score,,,
"FTND score, mean (SD)",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/113606315,ftnd score  mean  sd,,,
"FTND, mean (SD)",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/190482808,ftnd  mean  sd,,,
Fagerström Dependence Score,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/137195525,fagerström dependence score,,,
"Fagerström Test for Cigarette Dependence score, median (25th, 75th percentile)",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/204125591,fagerström test for cigarette dependence score  median  25th  75th percentile,,,
Fagerström Test for Nicotine Dependence,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/48912532,fagerström test for nicotine dependence,,,
Fair or poor health,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/87404655,fair or poor health,,,
Farse,"http://www.tobaccopreventioncessation.com/Persistent-use-of-hookah-smoking-among-Iranian-women-nA-qualitative-study,99507,0,2.html#t0001",farse,,,
Female,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/42805970,female,,,
"Female (participant), n (%)",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/225690005,female  participant   n,,,
"Female, % (n)",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33448324,female     n,,,
Female-to-male identity,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/65424527,female to male identity,,,
Filipino,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/45376027,filipino,,,
Filipino/Pacific Islander,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/42871911,filipino pacific islander,,,
First LCC flavored? (%yes),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/113585780,first lcc flavored    yes,,,
Foreign-born status,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/42808111,foreign born status,,,
"Frequency of smoking (days/week) (M, SD)",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33445055,frequency of smoking  days week   m  sd,,,
GLB,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/121766001,glb,,,
"Gay, lesbian or bisexual",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/204606295,gay  lesbian or bisexual,,,
"Gay, lesbian, or bisexual",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/120012478,gay  lesbian  or bisexual,,,
Gender (female),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/165678125,gender  female,,,
Gender × race interaction P,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/137725305,gender × race interaction p,,,
Gender × race interaction β,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/137725305,gender × race interaction β,,,
Gender—male,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/204606240,gender male,,,
Gestational age (wk) [median (IQR)],https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/36552348,gestational age  wk   median  iqr,,,
"Gestational age in weeks, median (25th, 75th percentile)",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/204125591,gestational age in weeks  median  25th  75th percentile,,,
Graduate degree,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/82284807,graduate degree,,,
"Graduated high school, n (%)",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/120013602,graduated high school  n,,,
Grayish-brown/indigenous(%),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/183587281,grayish brown indigenous,,,
Guardian advice,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/42815574,guardian advice,,,
Guardian use of tobacco,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/42815574,guardian use of tobacco,,,
"Guthrie, Hoek, Darroch, Wood. A qualitative analysis of New Zealand retialers’ responses to standardised packaging legislation and tobacco industry opposition39","http://www.tobaccopreventioncessation.com/Standardized-packaging-and-illicit-tobacco-use-A-systematic-review,70277,0,2.html#t0002",guthrie  hoek  darroch  wood  a qualitative analysis of new zealand retialers’ responses to standardised packaging legislation and tobacco industry opposition39,,,
HA,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/228112378,ha,,,
Hair nicotine (ng/mg hair),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/42815038,hair nicotine  ng mg hair,,,
"Hallucinations, past month",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/87404655,hallucinations  past month,,,
Han,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/87403054,han,,,
Han (2014),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/131788881,han  2014,,,
Han (2016),"http://www.tobaccopreventioncessation.com/A-review-of-constituents-identified-in-e-cigarette-liquids-and-aerosols,131111,0,2.html#t0003",han  2016,,,
Hana,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/110516238,hana,,,
Hausa,"http://www.tobaccopreventioncessation.com/Assessment-of-the-use-of-different-forms-of-tobacco-products-namong-Nigerian-adults,87126,0,2.html#t0003",hausa,,,
"Have health insurance,N (%)",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/204302895,have health insurance n,,,
Hawaiian or Pacific Islander,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/121765719,hawaiian or pacific islander,,,
Hawaiian/Pacific I,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/45374211,hawaiian pacific i,,,
Hawaiian/Pacific Islander,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/45374214,hawaiian pacific islander,,,
Hears or sees things others do not,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/20460179,hears or sees things others do not,,,
"Heaviness of Smoking Index ≥4,N (%)a",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/204302895,heaviness of smoking index ≥4 n    a,,,
Heavy drinker (%),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/36551215,heavy drinker,,,
Height (cm),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/96535775,height  cm,,,
Heterosexual,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32934956,heterosexual,,,
Heterosexual (vs LGBT),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32934972,heterosexual  vs lgbt,,,
High age-for-grade,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/107630319,high age for grade,,,
High school education or higher,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/202709775,high school education or higher,,,
High school education or less,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/77034609,high school education or less,,,
High school graduate,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/82284807,high school graduate,,,
"High school graduate, N (%)",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/87404647,high school graduate  n,,,
"High school graduate,N (%)",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/204302895,high school graduate n,,,
"High school or less education, n (%)",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/183587281,high school or less education  n,,,
"Highest education (years), M (SD)",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/225690005,highest education  years   m  sd,,,
"Highest parental education, %",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/82284807,highest parental education,,,
Hispanic,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32946177,hispanic,,,
Hispanic % (SE),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/202648442,hispanic    se,,,
Hispanic %b,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/119653745,hispanic  b,,,
Hispanic ( n = 210),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/45370567,hispanic   n   210,,,
Hispanic (%),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32940483,hispanic,,,
Hispanic (15.3%),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/113589307,hispanic  15 3,,,
Hispanic (Any Race),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/116437432,hispanic  any race,,,
Hispanic (N = 28) M (SD),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/113580440,hispanic  n   28  m  sd,,,
Hispanic (N = 28) M (SD) or %,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/113580435,hispanic  n   28  m  sd  or,,,
Hispanic (all races),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/208138111,hispanic  all races,,,
Hispanic (any race),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/45370180,hispanic  any race,,,
Hispanic (n = 1854),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/202710515,hispanic  n   1854,,,
"Hispanic (n = 320) Cigarette, non-LCC smokers (n = 163)",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/87404421,hispanic  n   320  cigarette  non lcc smokers  n   163,,,
Hispanic (n = 320) LCC- blunt smokers (n = 61),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/87404421,hispanic  n   320  lcc  blunt smokers  n   61,,,
Hispanic (n = 320) LCC- poly users (n = 48),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/87404421,hispanic  n   320  lcc  poly users  n   48,,,
Hispanic (n = 320) LCC- tobacco smokers (n = 58),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/87404421,hispanic  n   320  lcc  tobacco smokers  n   58,,,
Hispanic (n = 320) p,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/87404421,hispanic  n   320  p,,,
Hispanic (n = 99) M (SD)/%,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/77028808,hispanic  n   99  m  sd,,,
Hispanic (n or %),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/99874365,hispanic  n or,,,
Hispanic (no = ref.),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/209693429,hispanic  no   ref,,,
Hispanic (referent),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/42240558,hispanic  referent,,,
Hispanic (vs. black),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/97498579,hispanic  vs  black,,,
Hispanic (vs. non-Hispanic white),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/42810431,hispanic  vs  non hispanic white,,,
Hispanic (vs. nonHispanic),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/118217539,hispanic  vs  nonhispanic,,,
Hispanic 21.0% (n = 22 602),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/113607301,hispanic 21 0   n   22 602,,,
Hispanic 21.1% (n = 12 656),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/113607301,hispanic 21 1   n   12 656,,,
Hispanic American,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/36551215,hispanic american,,,
Hispanic N (%),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/206833578,hispanic n,,,
Hispanic N = 509 (7.6%),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/113602824,hispanic n   509  7 6,,,
Hispanic N = 85,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53622354,hispanic n   85,,,
Hispanic Na,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/119653745,hispanic na,,,
Hispanic Yes vs No,"http://www.tobaccopreventioncessation.com/Willingness-to-try-various-tobacco-cessation-methods-among-US-adult-cigarette-smokers,108555,0,2.html#t0002",hispanic yes vs no,,,
Hispanic ethnicity,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/42803868,hispanic ethnicity,,,
"Hispanic ethnicity ( %, n )",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/113583718,hispanic ethnicity      n,,,
Hispanic ethnicity (%),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/45373926,hispanic ethnicity,,,
"Hispanic ethnicity (N, %)",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/209693421,hispanic ethnicity  n,,,
Hispanic ethnicity no. (%),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/219970379,hispanic ethnicity no,,,
"Hispanic ethnicity, N (%)",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/78443118,hispanic ethnicity  n,,,
"Hispanic ethnicity, n (%)",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/53621584,hispanic ethnicity  n,,,
"Hispanic ethnicity, no. (%)",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/205611650,hispanic ethnicity  no,,,
Hispanic n,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/202648442,hispanic n,,,
Hispanic of any race,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/32948237,hispanic of any race,,,
Hispanic or Latina,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/113602202,hispanic or latina,,,
Hispanic or Latino,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/113599053,hispanic or latino,,,
Hispanic or Latino (of any race),"http://www.tobaccopreventioncessation.com/Retail-marketing-for-chewing-tobacco-in-Los-Angeles-California,105109,0,2.html#t0001",hispanic or latino  of any race,,,
Hispanic or Latino(a),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/65424522,hispanic or latino a,,,
"Hispanic or Latino, % yes",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/114856227,hispanic or latino    yes,,,
Hispanic or Other,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/204703140,hispanic or other,,,
Hispanic or other,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/133791020,hispanic or other,,,
Hispanic origin,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/113606970,hispanic origin,,,
Hispanic origin (yes),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/45376027,hispanic origin  yes,,,
Hispanic subgroup,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/36550905,hispanic subgroup,,,
Hispanic versus Non-Hispanic White (p = .0002),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/113607107,hispanic versus non hispanic white  p    0002,,,
Hispanic versus White comparison,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/77028813,hispanic versus white comparison,,,
Hispanic vs. non-Hispanic,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/209693323,hispanic vs  non hispanic,,,
Hispanic white,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/113589333,hispanic white,,,
Hispanic*,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/204303117,hispanic,,,
"Hispanic, %",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/20462332,hispanic,,,
"Hispanic, Latino or Spanish origin",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/113606557,hispanic  latino or spanish origin,,,
"Hispanic, N (%)",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/113598961,hispanic  n,,,
"Hispanic, N (%)a,c",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/120967545,hispanic  n    a c,,,
"Hispanic, No. (%)",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/190482612,hispanic  no,,,
"Hispanic, n (%)",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/204705585,hispanic  n,,,
"Hispanic, other (Native American)",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/77034598,hispanic  other  native american,,,
Hispanic/Latina,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/204125591,hispanic latina,,,
Hispanic/Latina(o),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/119653839,hispanic latina o,,,
Hispanic/Latino,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/33552065,hispanic latino,,,
Hispanic/Latino 0 (0),"http://www.tobaccoinduceddiseases.org/E-cigarette-use-and-perceived-health-change-Better-health-nthrough-vaping-,95218,0,2.html#t0001",hispanic latino 0  0,,,
Hispanic/Latino(a),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/219458361,hispanic latino a,,,
"Hispanic/Latino, No. (%)",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/165678807,hispanic latino  no,,,
"Hispanic/Latino/Spanish, n (%)",https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/120013602,hispanic latino spanish  n,,,
Hispanic/Latinx,"http://www.tobaccoinduceddiseases.org/Electronic-cigarette-and-moist-snuff-product-characteristics-nindependently-associated,125513,0,2.html#t0001",hispanic latinx,,,
Hispanic1,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/113607766,hispanic1,,,
Hispanic: n,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/227171734,hispanic  n,,,
Hispanica,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/204126185,hispanica,,,
Hispanics,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/228604756,hispanics,,,
Hispanics (n=336),"http://www.tobaccopreventioncessation.com/Assessing-demographic-differences-in-decisional-balance-for-smoking-prevention-and-temptations-to-try-smoking-among-adolescent-subgroups,70562,0,2.html#t0002",hispanics  n 336,,,
Hispanics (n=625),"http://www.tobaccopreventioncessation.com/Assessing-demographic-differences-in-decisional-balance-for-smoking-prevention-and-temptations-to-try-smoking-among-adolescent-subgroups,70562,0,2.html#t0002",hispanics  n 625,,,
Household income (US$ < 30 000),https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/202712163,household income  us    30 000,,,
