Conference,Year,Title,PaperType,Matched,Abstract,Highlights,Link,AuthorNames,AuthorAffiliation,Coder1,Coder2,Coder3,Vote,Exceptions
Nicotine & Tobacco Research,2019,"Lesbian, Gay, Bisexual, and Transgender (LGBT) View it Differently Than Non-LGBT: Exposure to Tobacco-related Couponing, E-cigarette Advertisements, and Anti-tobacco Messages on Social and Traditional Media",article,"['lgbt', 'non-lgbt']","Background LGBT populations use tobacco at disparately higher rates nationwide, compared to national averages. The tobacco industry has a history targeting LGBT with marketing efforts, likely contributing to this disparity. This study explores whether exposure to tobacco content on traditional and social media is associated with tobacco use among LGBT and non-LGBT. Methods This study reports results from LGBT (N = 1092) and non-LGBT (N = 16430) respondents to a 2013 nationally representative cross-sectional online survey of US adults (N = 17522). Frequency and weighted prevalence were estimated and adjusted logistic regression analyses were conducted. Results LGBT reported significantly higher rates of past 30-day tobacco media exposure compared to non-LGBT, this effect was strongest among LGBT who were smokers (p < .05). LGBT more frequently reported exposure to, searching for, or sharing messages related to tobacco couponing, e-cigarettes, and anti-tobacco on new or social media (eg, Twitter, Facebook, etc.) than did non-LGBT (p < .05). Non-LGBT reported more exposure from traditional media sources such as television, most notably anti-tobacco messages (p = .0088). LGBT had higher odds of past 30-day use of cigarettes, e-cigarettes, and cigars compared to non-LGBT, adjusting for past 30-day media exposure and covariates (p ≤ .0001). Conclusions LGBT (particularly LGBT smokers) are more likely to be exposed to and interact with tobacco-related messages on new and social media than their non-LGBT counterparts. Higher levels of tobacco media exposure were significantly associated with higher likelihood of tobacco use. This suggests tobacco control must work toward reaching LGBT across a variety of media platforms, particularly new and social media outlets. Implications This study provides important information about LGBT communities tobacco-related disparities in increased exposure to pro-tobacco messages via social media, where the tobacco industry has moved since the MSA. Further, LGBT when assessed as a single population appear to identify having decreased exposure to anti-tobacco messages via traditional media, where we know a large portion of tobacco control and prevention messages are placed. The study points to the need for targeted and tailored approaches by tobacco control to market to LGBT using on-line resources and tools in order to help reduce LGBT tobacco-related health disparities. Although there have been localized campaigns, only just recently have such LGBT-tailored national campaigns been developed by the CDC, FDA, and Legacy, assessment of the content, effectiveness, and reach of both local and national campaigns will be important next steps.",,http://dx.doi.org/10.1093/ntr/nty049,"Emory, Kristen; Buchting, Francisco O; Trinidad, Dennis R; Vera, Lisa; Emery, Sherry L","Moores Cancer Center at the University of California, San Diego, Health Sciences Dr., La Jolla, CA Graduate School of Public Health, Campanile Drive, San Diego, CA Horizons Foundation, Suite, San Francisco, CA Moores Cancer Center, University of California, San Diego, Health Sciences Dr, La Jolla, CA VeraCite, Inc., San Diego, CA NORC at the University of Chicago, Chicago, IL",,,1,1,
Nicotine & Tobacco Research,2019,Sexual Orientation Discrimination and Tobacco Use Disparities in the United States,article,"['bisexual', 'gay', 'lesbian', 'same-sex', 'sex', 'sexual identity', 'sexual minorities', 'sexual minority', 'sexual orientation']","Introduction Differences in tobacco/nicotine use by sexual orientation are well documented. Development of interventions requires attention to the etiology of these differences. This study examined associations among sexual orientation discrimination, cigarette smoking, any tobacco/nicotine use, and DSM-5 tobacco use disorder (TUD) in the United States. Methods We used data from the 2012–2013 National Epidemiologic Survey on Alcohol and Related Conditions based on in-person interviews with a nationally representative sample of noninstitutionalized US adults. Approximately 8.3% of the target population was estimated to have same-sex sexual attraction, 3.1% had at least one same-sex sexual partner in the past-year, and 2.8% self-identified as lesbian, gay, or bisexual. Results Sexual attraction, sexual behavior, and sexual identity were significantly associated with cigarette smoking, any tobacco/nicotine use, and DSM-5 TUD. Risk of all tobacco/nicotine outcomes was most pronounced for bisexual adults across all three sexual orientation dimensions. Approximately half of sexual minorities who identified as lesbian or gay and one-fourth of those who identified as bisexual reported past-year sexual orientation discrimination. Sexual minorities who experienced high levels of past-year sexual orientation discrimination had significantly greater probability of past-year cigarette smoking, any tobacco/nicotine use, and TUD relative to sexual minorities who experienced lower levels of sexual orientation discrimination or no discrimination. Conclusions Sexual minorities, especially bisexual adults, are at heightened risk of cigarette smoking, any tobacco/nicotine use, and DSM-5 TUD across all three major sexual orientation dimensions. Tobacco prevention and cessation efforts should target bisexual adults and consider the role that sexual orientation discrimination plays in cigarette smoking and treatment of TUD. Implications Differences in tobacco/nicotine use by sexual orientation are well documented, but little is known about differences across all three sexual orientation dimensions (attraction, behavior, and identity) or the origins of these differences. This study is the first to show that differences in tobacco/nicotine use across the three sexual orientation dimensions for respondents who were exclusively heterosexually-oriented were minimal, but varied more substantially among sexual minority women and men across the three sexual orientation dimensions. Sexual minorities who experienced high levels of past-year sexual orientation discrimination had significantly greater probability of cigarette smoking, any tobacco/nicotine use and DSM-5 tobacco use disorder.",,http://dx.doi.org/10.1093/ntr/ntx283,"McCabe, Sean Esteban; Hughes, Tonda L; Matthews, Alicia K; Lee, Joseph G L; West, Brady T; Boyd, Carol J; Arslanian-Engoren, Cynthia","Center for the Study of Drugs, Alcohol, Smoking and Health, School of Nursing, University of Michigan, Ann Arbor, MI Institute for Research on Women and Gender, University of Michigan, Ann Arbor, MI School of Nursing and Department of Psychiatry, Columbia University, New York, NY College of Nursing, University of Illinois at Chicago, Chicago, IL Department of Health Education and Promotion, College of Health and Human Performance, East Carolina University, Greenville, NC Institute for Social Research, Survey Research Center, University of Michigan, Ann Arbor, MI Center for the Study of Drugs, Alcohol, Smoking and Health, School of Nursing, University of Michigan, Ann Arbor, MI Institute for Research on Women and Gender, University of Michigan, Ann Arbor, MI Addiction Center, Department of Psychiatry, University of Michigan, Ann Arbor, MI Center for the Study of Drugs, Alcohol, Smoking and Health, School of Nursing, University of Michigan, Ann Arbor, MI",,,1,1,
Nicotine & Tobacco Research,2019,Widespread Belief That Organic and Additive-Free Tobacco Products are Less Harmful Than Regular Tobacco Products: Results From the 2017 US Health Information National Trends Survey,article,"['gender', 'sexual orientation']","Significance US smokers of Natural American Spirit, a brand marketed as “organic” and “additive-free,” are more likely than other cigarette smokers to believe that their brand might be less harmful than other brands. This article (1) describes the prevalence of belief that “organic” and “additive-free” tobacco is less harmful than regular tobacco products in the US population and (2) describes the sociodemographic characteristics of adults who believe tobacco products with these descriptors are less harmful. Methods Data were drawn from the 2017 Health Information National Trends Survey (HINTS), a nationally representative survey of US adults. Logistic regression models were used to examine correlates of the belief that “organic” or “additive-free” tobacco products are less harmful than regular tobacco products. Results Overall, 26.7% of US adults and 45.3% of adult smokers believe that “organic” tobacco products are less harmful than regular tobacco products. Similarly, 35.2% of US adults and 47.1% of smokers believe that “additive-free” tobacco products are less harmful. When examining gender, age, education, race/ethnicity, sexual orientation, and smoking status, only age (adjusted odds ratio [aOR] ~0.98, 95% confidence interval [CI]: 0.97, 0.99 for both outcomes) and smoking status (current vs. never smokers, aOR ~1.78, 95% CI 1.03, 3.07 for both outcomes) were correlates of believing that “organic” or “additive-free” tobacco is less harmful than regular tobacco products. Conclusions Belief that “organic” and “additive-free” tobacco products are less harmful than other products is widespread. Younger adults and current smokers are most likely to be misinformed by “organic” or “additive-free” tobacco product descriptors. Implications Belief that “organic” and “additive-free” tobacco products are less harmful than other products is widespread among US adults and most prevalent among smokers. Removal of terms that incorrectly imply reduced harm may correct current and future consumers’ misperceptions about the brand.",,http://dx.doi.org/10.1093/ntr/ntz015,"Pearson, Jennifer L; Moran, Meghan; Delnevo, Cristine D; Villanti, Andrea C; Lewis, M Jane","School of Community Health Sciences, University of Nevada, Reno, NV Department of Health, Behavior and Society, Johns Hopkins Bloomberg School of Public Health, Baltimore, MD Department of Health, Behavior and Society, Johns Hopkins Bloomberg School of Public Health, Baltimore, MD Center for Tobacco Studies, Rutgers School of Public Health, New Brunswick, NJ Department of Health, Behavior and Society, Johns Hopkins Bloomberg School of Public Health, Baltimore, MD Department of Psychiatry, University of Vermont, Burlington, VT Center for Tobacco Studies, Rutgers School of Public Health, New Brunswick, NJ",,,1,1,
Nicotine & Tobacco Research,2020,Lung Cancer Screening Eligibility and Utilization Among Transgender Patients: An Analysis of the 2017–2018 United States Behavioral Risk Factor Surveillance System Survey,article,"['cisgender', 'gender', 'gender identity', 'transgender']","Introduction Transgender and gender diverse (TGD) persons disproportionately face many health disparities including a higher risk of lung cancer. Lung cancer screening (LCS) using low-dose chest computed tomography has reduced lung cancer mortality in eligible high-risk smokers across several large trials, yet utilization of LCS remains low. TGD persons may be less likely to receive recommended cancer screening compared with cisgender populations. We sought to compare eligibility for and utilization of LCS between TGD and cisgender persons in the United States. We also examined if the utilization of LCS varied by smoking status within each gender identity group. Methods We analyzed data from the 2017 and 2018 Behavioral Risk Factor Surveillance System (BRFSS) cross-sectional survey to determine eligibility and utilization of LCS among TGD participants compared with cisgender persons. Logistical regression analysis of potentially confounding variables included age category, race/ethnicity, income, employment status, health insurance, and having a personal doctor. Results Of 37 023 weighted respondents, 0.5% were TGD. Although eligibility for LCS was statistically similar (8.8% TGD vs. 12.2% cisgender) (adjusted odds ratio = 0.81, 95% confidence interval = 0.27–2.39, p = .703), only 2.3% of TGD participants reported obtaining a LCS chest computed tomography versus 17.2% of cisgender participants (adjusted odds ratio = 0.04, 95% confidence interval = 0.01–0.59, p = .019). Smoking status showed no association with LCS utilization among gender identity groups. Conclusions TGD persons may be less likely to receive LCS despite having similar smoking status and eligibility of cisgender persons, suggesting a disparity in utilization of this preventative health service. Implications Targeted efforts to increase LCS utilization and promote smoking cessation for at-risk TGD patients may be warranted.",,http://dx.doi.org/10.1093/ntr/ntaa127,"Stowell, Justin T; Parikh, Yasha; Tilson, Kimberly; Narayan, Anand K","Department of Radiology, Mayo Clinic, Jacksonville, FL Department of Radiology, Mount Auburn Hospital, Cambridge, MA Behavioral Health Community Access Program, Truman Medical Centers, Kansas City, MO Department of Radiology, Massachusetts General Hospital, Boston, MA",,,1,1,
Nicotine & Tobacco Research,2020,"We are in This Together: Promoting Health Equity, Diversity, and Inclusion in Tobacco Research for Sexual and Gender Minority Populations",article,"['cisgender', 'gender', 'gender minority', 'heterosexual', 'sexual and gender minority']","Introduction Sexual and gender minority (SGM) individuals have higher tobacco use prevalence and consequently higher burden of tobacco-caused diseases, including cancer and cardiovascular disease compared with their heterosexual or cisgender counterparts. Yet, there is a critical gap in research focused on measuring SGM tobacco-related health disparities and addressing unmet needs of SGM individuals in the context of nicotine and tobacco research. Aims and Methods In this commentary, we summarize recommendations discussed during a pre-conference workshop focused on challenges and opportunities in conducting SGM tobacco control research at the 2019 Society for Research on Nicotine and Tobacco Annual Meeting. Results Specifically, we recommend defining and measuring SGM identity in all nicotine and tobacco research routinely, using novel methods to engage a demographically diverse sample of the SGM population, and eliciting SGM community voices in tobacco control research. Conclusions Addressing these critical research gaps will enable the scientific community to generate the data to fully understand and support SGM individuals in tobacco use prevention and cessation. Implications Tobacco use and its consequences have become increasingly concentrated in disadvantaged groups, including sexual and gender minority (SGM) populations. Through concrete recommendations in this commentary, we aimed to promote health equity, diversity, and inclusion in tobacco research for SGM populations by urging the scientific community to consider expanding efforts to monitor and address tobacco-related health disparities of SGM populations within their respective research programs.",,http://dx.doi.org/10.1093/ntr/ntaa070,"Dermody, Sarah S; On Behalf of the Society for Research on Nicotine and Tobacco Health Disparities Network; Heffner, Jaimee L; On Behalf of the Society for Research on Nicotine and Tobacco Health Disparities Network; Hinds, Josephine T; On Behalf of the Society for Research on Nicotine and Tobacco Health Disparities Network; McQuoid, Julia; On Behalf of the Society for Research on Nicotine and Tobacco Health Disparities Network; Quisenberry, Amanda J; On Behalf of the Society for Research on Nicotine and Tobacco Health Disparities Network; Tan, Andy S L; On Behalf of the Society for Research on Nicotine and Tobacco Health Disparities Network; Vogel, Erin A; On Behalf of the Society for Research on Nicotine and Tobacco Health Disparities Network","School of Psychological Science, Oregon State University, Corvallis, OR Public Health Sciences Division, Fred Hutchinson Cancer Research Center, Seattle, WA Department of Kinesiology and Health Education, University of Texas at Austin, Austin, TX Center for Tobacco Control Research and Education, University of California, San Francisco, San Francisco, CA Department of Health Behavior, Division of Cancer Prevention and Control, Roswell Park Comprehensive Cancer Center, Buffalo, NY Division of Population Sciences, Center for Community-Based Research, Dana-Farber Cancer Institute, Boston, MA Department of Social and Behavioral Sciences, Harvard TH Chan School of Public Health, Boston, MA Stanford Prevention Research Center, Department of Medicine, Stanford University, Stanford, CA",,,1,1,
Nicotine & Tobacco Research,2020,Long-Term Smoking Cessation Outcomes for Sexual Minority Versus Nonminority Smokers in a Large Randomized Controlled Trial of Two Web-Based Interventions,article,"['bisexual', 'gay', 'lesbian', 'sexual minority']","Introduction Despite greater smoking prevalence among sexual minority (SM) individuals relative to non-SM individuals, minimal research has examined whether SM smokers have differential success at quitting, and no prior treatment studies have examined differences within SM subgroups. There is also limited knowledge of the psychosocial characteristics of treatment-seeking SM smokers, which could inform targeted treatments. To address these gaps, we compared treatment outcomes and baseline characteristics for SM and non-SM smokers and for bisexual versus lesbian or gay smokers in a large randomized controlled trial of two web-based cessation treatments. Methods Trial participants completed a survey to assess baseline characteristics, including self-identification as either SM (n = 253; lesbian or gay, n = 122; bisexual, n = 131) or non-SM (n = 2384). The primary cessation outcome was complete-case, self-reported 30-day abstinence at 12 months after randomization. Results Cessation outcomes did not differ significantly for SM versus non-SM smokers (24% vs. 25%, adjusted OR = 0.91, 95% CI = 0.65 to 1.28) or across SM subgroups (24% for bisexual vs. 23% for lesbian or gay, adjusted OR = 1.01, 95% CI = 0.51 to 2.00), and there were no interactions with treatment group assignment. At baseline, SM smokers differed from non-SM smokers on most demographics, were more likely to screen positive for all mental health conditions assessed, and had greater exposure to other smokers in the home. Conclusions Substantial differences in baseline characteristics of SM versus non-SM smokers and bisexual versus lesbian or gay smokers did not translate into differential treatment outcomes. Nonetheless, SM smokers’ willingness or ability to quit smoking could be enhanced by taking their unique psychosocial profile into account when designing targeted interventions. Implications The findings of this study, which included the largest sample of SM smokers in a prospective intervention trial to date, support those of a small extant body of literature showing no differences in treatment-assisted cessation outcomes between SM and non-SM smokers. Regardless of their quit rates relative to non-SM smokers, SM smokers’ willingness or ability to quit smoking could potentially be enhanced by taking their unique psychosocial profile into account in intervention design, including their younger age, lower socioeconomic status, greater likelihood of being racial or ethnic minorities, and greater prevalence of mental health symptoms.",,http://dx.doi.org/10.1093/ntr/ntz112,"Heffner, Jaimee L; Mull, Kristin E; Watson, Noreen L; McClure, Jennifer B; Bricker, Jonathan B","Division of Public Health Sciences, Fred Hutchinson Cancer Research Center, Seattle, WA Division of Public Health Sciences, Fred Hutchinson Cancer Research Center, Seattle, WA Division of Public Health Sciences, Fred Hutchinson Cancer Research Center, Seattle, WA Kaiser Permanente Washington Health Research Institute (formerly Group Health Research Institute), Seattle, WA Division of Public Health Sciences, Fred Hutchinson Cancer Research Center, Seattle, WA Department of Psychology, University of Washington, Seattle, WA",,,1,1,
Nicotine & Tobacco Research,2020,"Put It Out Project (POP) Facebook Intervention for Young Sexual and Gender Minority Smokers: Outcomes of a Pilot, Randomized, Controlled Trial",article,"['gender', 'gender minority', 'sexual and gender minority']","Introduction This trial investigated whether a Facebook smoking cessation intervention culturally tailored to young sexual and gender minority (SGM) smokers (versus non-tailored) would increase smoking abstinence. Methods Participants were 165 SGM young adult US smokers (age 18–25) recruited from Facebook in April 2018 and randomized to an SGM-tailored (POP; N = 84) or non-tailored (TSP-SGM; N = 81) intervention. Interventions delivered weekly live counseling sessions and 90 daily Facebook posts to participants in Facebook groups. Primary analyses compared POP and TSP-SGM on biochemically verified smoking abstinence (yes/no; primary outcome), self-reported 7-day point prevalence abstinence (yes/no), reduction in cigarettes per week by 50+% from baseline (yes/no), making a quit attempt during treatment (yes/no), and stage of change (precontemplation/contemplation vs. preparation/action). Supplemental analyses compared POP to two historical control groups. Results POP participants were more likely than TSP-SGM participants to report smoking abstinence at 3 (23.8% vs. 12.3%; OR = 2.50; p = .03) and 6 months (34.5% vs. 12.3%; OR = 4.06; p < .001) and reduction in smoking at 3 months (52.4% vs. 39.5%; OR = 2.11; p = .03). Biochemically verified smoking abstinence did not significantly differ between POP and TSP-SGM at 3 (OR = 2.00; p = .33) or 6 months (OR = 3.12; p = .08), potentially due to challenges with remote biochemical verification. In supplemental analyses, POP participants were more likely to report abstinence at 3 (OR = 6.82, p = .01) and 6 (OR = 2.75, p = .03) months and reduced smoking at 3 months (OR = 2.72, p = .01) than participants who received a referral to Smokefree.gov. Conclusions This pilot study provides preliminary support for the effectiveness of a Facebook smoking cessation intervention tailored to SGM young adults. Implications SGM individuals have disproportionately high smoking prevalence. It is unclear whether smoking cessation interventions culturally tailored to the SGM community are more effective than non-tailored interventions. This pilot trial found preliminary evidence that an SGM-tailored Facebook smoking cessation intervention increased reported abstinence from smoking, compared to a non-tailored intervention. Trial Registration NCT03259360.",,http://dx.doi.org/10.1093/ntr/ntz184,"Vogel, Erin A; Ramo, Danielle E; Meacham, Meredith C; Prochaska, Judith J; Delucchi, Kevin L; Humfleet, Gary L","Department of Psychiatry and Weill Institute for Neurosciences, University of California, San Francisco, San Francisco, CA Department of Psychiatry and Weill Institute for Neurosciences, University of California, San Francisco, San Francisco, CA Hopelab, San Francisco, CA Department of Psychiatry and Weill Institute for Neurosciences, University of California, San Francisco, San Francisco, CA Stanford Prevention Research Center, Department of Medicine, Stanford University, Stanford, CA Department of Psychiatry and Weill Institute for Neurosciences, University of California, San Francisco, San Francisco, CA Department of Psychiatry and Weill Institute for Neurosciences, University of California, San Francisco, San Francisco, CA",,,1,1,
Nicotine & Tobacco Research,2021,Smoking and Quitting Behavior by Sexual Orientation: A Cross-Sectional Survey of Adults in England,article,"['bisexual', 'bisexuals', 'gay', 'heterosexual', 'lesbian', 'sexual minority', 'sexual orientation']","Objective To assess associations between sexual orientation and smoking and quitting behavior among adults in England. Methods Data were collected from 112 537 adults (≥16 years) participating in a nationally representative monthly cross-sectional survey between July 2013 and February 2019. Sexual orientation was self-reported as heterosexual, bisexual, lesbian/gay, or prefer-not-to-say. Main outcomes were smoking status, e-cigarette use, cigarettes per day, time to first cigarette, motivation to stop smoking, motives for quitting, use of cessation support, and past‐year quit attempts. Associations were analyzed separately for men and women using multivariable regression models adjusted for relevant covariates. Results Smoking prevalence is now similar between gay (21.6%), prefer-not-to-say (20.5%) and heterosexual men (20.0%), and lesbian (18.3%) and heterosexual women (16.9%), but remains higher among bisexual men (28.2%, adjusted odds ratio [ORadj] = 1.41, 95% confidence interval [CI] = 1.11 to 1.79) and bisexual women (29.8%, ORadj = 1.64, 95% CI = 1.33 to 2.03) and lower among prefer-not-to-say women (14.5%, ORadj = 0.85, 95% CI = 0.72 to 0.99). Among smokers, bisexuals were less addicted than heterosexuals, with bisexual men smoking fewer cigarettes per day (Badj = −2.41, 95% CI = −4.06 to −0.75) and bisexual women less likely to start smoking within 30 min of waking (ORadj = 0.66, 95% CI = 0.45 to 0.95) than heterosexuals. However, motivation to stop smoking and quit attempts did not differ significantly. Conclusions In England, differences in smoking prevalence among people with different sexual orientations have narrowed, primarily driven by a larger decline in smoking rates among sexual minority groups than heterosexuals. Bisexual men and women remain more likely to smoke but have lower levels of addiction while being no less likely to try to quit. Implications This population-based study provides an up-to-date picture of smoking and quitting behavior in relation to sexual orientation among adults in England. Findings suggest that widely documented disparities in smoking prevalence have narrowed over recent years, with gay men and lesbian women no longer significantly more likely to smoke than heterosexuals, although smoking remains more common among bisexual men and women. Insights into differences in level of addiction, use of cessation support, and motives for quitting may help inform the development of targeted interventions to further reduce smoking among sexual minority groups.",,http://dx.doi.org/10.1093/ntr/ntaa042,"Jackson, Sarah E; Brown, Jamie; Grabovac, Igor; Cheeseman, Hazel; Osborne, Ciaran; Shahab, Lion","Department of Behavioural Science and Health, University College London, London, UK Department of Behavioural Science and Health, University College London, London, UK Department of Clinical, Educational and Health Psychology, University College London, London, UK Department of Social and Preventive Medicine, Centre for Public Health, Medical University of Vienna, Vienna, Austria Action on Smoking and Health, London, UK Action on Smoking and Health, London, UK Department of Behavioural Science and Health, University College London, London, UK",,,1,1,
Nicotine & Tobacco Research,2021,High-School Students Rarely Use E-Cigarettes Alone: A Sociodemographic Analysis of Polysubstance Use Among Adolescents in the United States,article,"['bisexual', 'straight']","Introduction Most adolescents reporting e-cigarette use have also used combustible tobacco; however, the extent to which they use other substances is less clear. This study assessed e-cigarette use with tobacco, alcohol, or cannabis and quantified the risk of polysubstance use among adolescents overall and by sociodemographic characteristics. Aims and Methods Using 2017 Youth Behavioral Risk Factor Surveillance System data from adolescents (grades 9–12) with complete substance use information (n = 11 244), we examined e-cigarette poly-use status (none [referent], e-cigarettes only, or e-cigarettes + other substances). We estimated the prevalence of substance use and modeled odds of e-cigarette use, alone or with other substances, by several sociodemographic characteristics. Analyses were completed in Stata version 15.1 using survey procedures to account for the complex survey design. Results Approximately 12% of adolescents reported past 30-day e-cigarette use. Almost all (93%) e-cigarette users also reported other substance use; alcohol appeared most frequently in combinations. Odds of e-cigarette single use and e-cigarette poly-use (vs. no use) were higher for males and adolescents with lower grades (odds ratios [ORs] = 1.44–2.31). Racial/ethnic minorities had lower odds of e-cigarette poly-use than White peers (ORs = 0.18–0.61), and bisexual (vs. straight) adolescents were more likely to be e-cigarette poly-users (OR = 1.62). E-cigarette use increased from 9th grade (7%) to 12th grade (16%). Conclusions Polysubstance use is highly prevalent among adolescents who use e-cigarettes. Therefore, e-cigarette screening should include the assessment of other substances, especially alcohol. Early and comprehensive prevention efforts to reduce e-cigarette and other substance use could have a substantial beneficial impact on population health over time. Implications This study extends knowledge about e-cigarette use among adolescents by exploring its use with alcohol, cannabis, and other tobacco products. We found that e-cigarettes were very rarely used alone, and our analysis identified several sociodemographic factors associated with greater odds of e-cigarette polysubstance use. In response, we recommend that prevention interventions address multiple substances concurrently, screen repeatedly to detect new initiation as age increases, focus on e-cigarette use as a less stigmatized entry point to discussions of substance use, and target priority population subgroups.",,http://dx.doi.org/10.1093/ntr/ntaa037,"Gilbert, Paul A; Kava, Christine M; Afifi, Rima","Department of Community and Behavioral Health, University of Iowa College of Public Health, Iowa City, IA Health Promotion Research Center, Department of Health Services, University of Washington, Seattle, WA Department of Community and Behavioral Health, University of Iowa College of Public Health, Iowa City, IA",,,1,1,
Tobacco Prevention & Cessation,2018,Sociodemographic correlates of intention to quit smoking for good among U.S. adult menthol and non-menthol smokers: Evidence from the 2013–2014 National Adult Tobacco Survey,SHORT REPORT,"['bisexual', 'gay', 'lesbian', 'transgender']","First Paragraph: Menthol and non-menthol cigarette smoking is associated with smoking-related diseases (i.e. lung cancer, chronic obstructive pulmonary disease, heart disease) and premature death1. While the overall prevalence in cigarette smoking has decreased since the mid-20th century, the proportion of menthol cigarette smokers has increased in recent years2,3. Notably, sociodemographic disparities in menthol cigarette smoking persist in the U.S.3. A higher prevalence of menthol cigarette smoking has been documented among vulnerable groups, including Black/African Americans, women, young adults, and lesbian, gay, bisexual, and transgender individuals4,5. Such disparities are due, in part, to the targeted marketing of menthol cigarettes by the tobacco industry6,7. Moreover, menthol cigarettes appeal more to novice smokers, and evidence8-10 indicates that the flavor and cooling sensations of menthol mask the harshness of inhaling cigarette smoke and help to facilitate smoking initiation and nicotine dependence.",,http://dx.doi.org/10.18332/tpc/90968,Sabrina L. Smiley,"Institute for Health Promotion and Disease Prevention Research, Department of Preventive Medicine,  Keck School of Medicine,  University of Southern California, Los Angeles, CA, United States",,,1,1,
Tobacco Prevention & Cessation,2020,Comparing smoking behavior between female-to-male and male-to-female transgender adults,RESEARCH PAPER,['transgender'],"The authors thank transgender individuals seeking care at the clinic of Hunter A. Hammill, and those attending the 2015 Houston Pride Festival for their participation in this study. The authors are also grateful to Hiba Zwiya, for her assistance during the submission of this manuscript.",,http://dx.doi.org/10.18332/tpc/114513,Irene Tamí-Maury; Anushree Sharma; Minxing Chen; Janice Blalock; Juan Ortiz; Lou Weaver; Sanjay Shete,"Department of Epidemiology, Human Genetics and Environmental Sciences, The University of Texas Health Science Center at Houston School of Public Health, United States; Department of Behavioral Science, The University of Texas MD Anderson Cancer Center, Houston, United States; Department of Biostatistics, The University of Texas MD Anderson Cancer Center, Houston, United States; Equality Texas, Houston, United States",1.0,1.0,1,3,
