idx,Year,Location,Country,Global,paperIdx,tableIdx,Race/Ethnicity,RaceGroup,RaceSubGroup,total,unit,type,value,proportion,tableLink,paperLink,"Coder1 (0-weighted, 1=unweighted) ",Coder 1 notes,"Coder2 (0-weighted, 1=unweighted) ",Unnamed: 20
457,2016,"USA, Autralia, Canada",USA,USA,245,1,Multiracial;,Multiracial,,80,%,cashier,2.5,2.5,https://tobaccocontrol.bmj.com/highwire/markup/152083/expansion?width=1000&height=500&iframe=true&postprocessors=highwire_tables%2Chighwire_reclass%2Chighwire_figures%2Chighwire_math%2Chighwire_inline_linked_media%2Chighwire_embed,http://dx.doi.org/10.1136/tobaccocontrol-2015-052529,,,,
458,2016,"USA, Autralia, Canada",USA,USA,245,1,Multiracial;,Multiracial,,79,%,sidewall,7.7,7.7,https://tobaccocontrol.bmj.com/highwire/markup/152083/expansion?width=1000&height=500&iframe=true&postprocessors=highwire_tables%2Chighwire_reclass%2Chighwire_figures%2Chighwire_math%2Chighwire_inline_linked_media%2Chighwire_embed,http://dx.doi.org/10.1136/tobaccocontrol-2015-052529,,,,
459,2016,"USA, Autralia, Canada",USA,USA,245,1,Multiracial;,Multiracial,,82,%,hidden,7.5,7.5,https://tobaccocontrol.bmj.com/highwire/markup/152083/expansion?width=1000&height=500&iframe=true&postprocessors=highwire_tables%2Chighwire_reclass%2Chighwire_figures%2Chighwire_math%2Chighwire_inline_linked_media%2Chighwire_embed,http://dx.doi.org/10.1136/tobaccocontrol-2015-052529,,,,
460,2016,"USA, Autralia, Canada",USA,USA,245,1,Others;,Others,,80,%,cashier,6.3,6.3,https://tobaccocontrol.bmj.com/highwire/markup/152083/expansion?width=1000&height=500&iframe=true&postprocessors=highwire_tables%2Chighwire_reclass%2Chighwire_figures%2Chighwire_math%2Chighwire_inline_linked_media%2Chighwire_embed,http://dx.doi.org/10.1136/tobaccocontrol-2015-052529,,,,
461,2016,"USA, Autralia, Canada",USA,USA,245,1,Others;,Others,,79,%,sidewall,3.8,3.8,https://tobaccocontrol.bmj.com/highwire/markup/152083/expansion?width=1000&height=500&iframe=true&postprocessors=highwire_tables%2Chighwire_reclass%2Chighwire_figures%2Chighwire_math%2Chighwire_inline_linked_media%2Chighwire_embed,http://dx.doi.org/10.1136/tobaccocontrol-2015-052529,,,,
462,2016,"USA, Autralia, Canada",USA,USA,245,1,Others;,Others,,82,%,hidden,7.5,7.5,https://tobaccocontrol.bmj.com/highwire/markup/152083/expansion?width=1000&height=500&iframe=true&postprocessors=highwire_tables%2Chighwire_reclass%2Chighwire_figures%2Chighwire_math%2Chighwire_inline_linked_media%2Chighwire_embed,http://dx.doi.org/10.1136/tobaccocontrol-2015-052529,,,,
343,2016,"North Carolina,the United States,Canada",USA,USA,246,1,Others;,Others,,63,num,farmworkers,0,0,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/65419731,http://dx.doi.org/10.1093/ntr/ntv187,,,,
343,2016,"North Carolina,the United States,Canada",USA,USA,246,1,Mexican;,Hispanic,,63,num,farmworkers,63,100,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/65419731,http://dx.doi.org/10.1093/ntr/ntv187,,,,
344,2016,"North Carolina,the United States,Canada",USA,USA,246,1,Others;,Others,,63,%,farmworkers,0,0,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/65419731,http://dx.doi.org/10.1093/ntr/ntv187,,,,
344,2016,"North Carolina,the United States,Canada",USA,USA,246,1,Mexican;,Hispanic,,63,%,farmworkers,31,70.5,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/65419731,http://dx.doi.org/10.1093/ntr/ntv187,,,,
345,2016,"North Carolina,the United States,Canada",USA,USA,246,1,Others;,Others,,44,num,non-farmworkers,13,29.54545455,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/65419731,http://dx.doi.org/10.1093/ntr/ntv187,,,,
345,2016,"North Carolina,the United States,Canada",USA,USA,246,1,Mexican;,Hispanic,,44,%,non-farmworkers,70.5,70.5,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/65419731,http://dx.doi.org/10.1093/ntr/ntv187,,,,
346,2016,"North Carolina,the United States,Canada",USA,USA,246,1,Mexican;,Hispanic,,44,%,non-farmworkers,29.5,29.5,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/65419731,http://dx.doi.org/10.1093/ntr/ntv187,,,,
346,2016,"North Carolina,the United States,Canada",USA,USA,246,1,Others;,Others,,44,%,non-farmworkers,29.5,29.5,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/65419731,http://dx.doi.org/10.1093/ntr/ntv187,,,,
351,2016,"Boston,PTSD",USA,USA,247,1,White; non-Hispanic,White,,306,num,all,108,35.29411765,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/87404647,http://dx.doi.org/10.1093/ntr/ntv238,,,,
352,2016,"Boston,PTSD",USA,USA,247,1,White; non-Hispanic,White,,203,num,ptsd screen (+),68,33.49753695,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/87404647,http://dx.doi.org/10.1093/ntr/ntv238,,,,
353,2016,"Boston,PTSD",USA,USA,247,1,White; non-Hispanic,White,,95,num,ptsd screen (−),39,41.05263158,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/87404647,http://dx.doi.org/10.1093/ntr/ntv238,,,,
354,2016,"Boston,PTSD",USA,USA,247,1,Black or African American; non-Hispanic,Black or African American,,306,num,all,124,40.52287582,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/87404647,http://dx.doi.org/10.1093/ntr/ntv238,,,,
355,2016,"Boston,PTSD",USA,USA,247,1,Black or African American; non-Hispanic,Black or African American,,203,num,ptsd screen (+),82,40.39408867,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/87404647,http://dx.doi.org/10.1093/ntr/ntv238,,,,
356,2016,"Boston,PTSD",USA,USA,247,1,Black or African American; non-Hispanic,Black or African American,,95,num,ptsd screen (−),38,40,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/87404647,http://dx.doi.org/10.1093/ntr/ntv238,,,,
357,2016,"Boston,PTSD",USA,USA,247,1,Others; non-Hispanic,Others,,306,num,all,16,5.22875817,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/87404647,http://dx.doi.org/10.1093/ntr/ntv238,,,,
358,2016,"Boston,PTSD",USA,USA,247,1,Others; non-Hispanic,Others,,203,num,ptsd screen (+),13,6.403940887,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/87404647,http://dx.doi.org/10.1093/ntr/ntv238,,,,
359,2016,"Boston,PTSD",USA,USA,247,1,Others; non-Hispanic,Others,,95,num,ptsd screen (−),2,2.105263158,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/87404647,http://dx.doi.org/10.1093/ntr/ntv238,,,,
360,2016,"Boston,PTSD",USA,USA,247,1,; Hispanic,Hispanic,,306,num,all,56,18.30065359,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/87404647,http://dx.doi.org/10.1093/ntr/ntv238,,,,
361,2016,"Boston,PTSD",USA,USA,247,1,; Hispanic,Hispanic,,203,num,ptsd screen (+),39,19.21182266,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/87404647,http://dx.doi.org/10.1093/ntr/ntv238,,,,
362,2016,"Boston,PTSD",USA,USA,247,1,; Hispanic,Hispanic,,95,num,ptsd screen (−),16,16.84210526,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/87404647,http://dx.doi.org/10.1093/ntr/ntv238,,,,
463,2016,New Zealand,New Zealand,Foreign,248,4,"White, Others; European","White, Others","European,",124,num,preference segment 1,33,26.61290323,https://tobaccocontrol.bmj.com/highwire/markup/152120/expansion?width=1000&height=500&iframe=true&postprocessors=highwire_tables%2Chighwire_reclass%2Chighwire_figures%2Chighwire_math%2Chighwire_inline_linked_media%2Chighwire_embed,http://dx.doi.org/10.1136/tobaccocontrol-2015-052533,,,,
464,2016,New Zealand,New Zealand,Foreign,248,4,"White, Others; European","White, Others","European,",95,num,preference segment 2,35,36.84210526,https://tobaccocontrol.bmj.com/highwire/markup/152120/expansion?width=1000&height=500&iframe=true&postprocessors=highwire_tables%2Chighwire_reclass%2Chighwire_figures%2Chighwire_math%2Chighwire_inline_linked_media%2Chighwire_embed,http://dx.doi.org/10.1136/tobaccocontrol-2015-052533,,,,
465,2016,New Zealand,New Zealand,Foreign,248,4,"White, Others; European","White, Others","European,",51,num,preference segment 3,32,62.74509804,https://tobaccocontrol.bmj.com/highwire/markup/152120/expansion?width=1000&height=500&iframe=true&postprocessors=highwire_tables%2Chighwire_reclass%2Chighwire_figures%2Chighwire_math%2Chighwire_inline_linked_media%2Chighwire_embed,http://dx.doi.org/10.1136/tobaccocontrol-2015-052533,,,,
466,2016,New Zealand,New Zealand,Foreign,248,4,"Maori, Pacific; ",Native Hawaiian or other Pacific Islander,,124,num,preference segment 1,48,38.70967742,https://tobaccocontrol.bmj.com/highwire/markup/152120/expansion?width=1000&height=500&iframe=true&postprocessors=highwire_tables%2Chighwire_reclass%2Chighwire_figures%2Chighwire_math%2Chighwire_inline_linked_media%2Chighwire_embed,http://dx.doi.org/10.1136/tobaccocontrol-2015-052533,,,,
467,2016,New Zealand,New Zealand,Foreign,248,4,"Maori, Pacific; ",Native Hawaiian or other Pacific Islander,,95,num,preference segment 2,35,36.84210526,https://tobaccocontrol.bmj.com/highwire/markup/152120/expansion?width=1000&height=500&iframe=true&postprocessors=highwire_tables%2Chighwire_reclass%2Chighwire_figures%2Chighwire_math%2Chighwire_inline_linked_media%2Chighwire_embed,http://dx.doi.org/10.1136/tobaccocontrol-2015-052533,,,,
468,2016,New Zealand,New Zealand,Foreign,248,4,"Maori, Pacific; ",Native Hawaiian or other Pacific Islander,,51,num,preference segment 3,17,33.33333333,https://tobaccocontrol.bmj.com/highwire/markup/152120/expansion?width=1000&height=500&iframe=true&postprocessors=highwire_tables%2Chighwire_reclass%2Chighwire_figures%2Chighwire_math%2Chighwire_inline_linked_media%2Chighwire_embed,http://dx.doi.org/10.1136/tobaccocontrol-2015-052533,,,,
469,2016,New Zealand,New Zealand,Foreign,248,4,Asian;,Asian,,124,num,preference segment 1,43,34.67741935,https://tobaccocontrol.bmj.com/highwire/markup/152120/expansion?width=1000&height=500&iframe=true&postprocessors=highwire_tables%2Chighwire_reclass%2Chighwire_figures%2Chighwire_math%2Chighwire_inline_linked_media%2Chighwire_embed,http://dx.doi.org/10.1136/tobaccocontrol-2015-052533,,,,
470,2016,New Zealand,New Zealand,Foreign,248,4,Asian;,Asian,,95,num,preference segment 2,25,26.31578947,https://tobaccocontrol.bmj.com/highwire/markup/152120/expansion?width=1000&height=500&iframe=true&postprocessors=highwire_tables%2Chighwire_reclass%2Chighwire_figures%2Chighwire_math%2Chighwire_inline_linked_media%2Chighwire_embed,http://dx.doi.org/10.1136/tobaccocontrol-2015-052533,,,,
471,2016,New Zealand,New Zealand,Foreign,248,4,Asian;,Asian,,51,num,preference segment 3,33,64.70588235,https://tobaccocontrol.bmj.com/highwire/markup/152120/expansion?width=1000&height=500&iframe=true&postprocessors=highwire_tables%2Chighwire_reclass%2Chighwire_figures%2Chighwire_math%2Chighwire_inline_linked_media%2Chighwire_embed,http://dx.doi.org/10.1136/tobaccocontrol-2015-052533,,,,
363,2016,"USA,the United States",USA,USA,249,1,White;,White,,2753,%,smoked 1–7 days per month 1–2 cpd,53.6,53.6,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/87405690,http://dx.doi.org/10.1093/ntr/ntv258,,,,
364,2016,"USA,the United States",USA,USA,249,1,White;,White,,1251,%,smoked 1–7 days per month 3–5 cpd,61,61,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/87405690,http://dx.doi.org/10.1093/ntr/ntv258,,,,
365,2016,"USA,the United States",USA,USA,249,1,White;,White,,558,%,smoked 1–7 days per month ≥6 cpd,61.7,61.7,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/87405690,http://dx.doi.org/10.1093/ntr/ntv258,,,,
366,2016,"USA,the United States",USA,USA,249,1,White;,White,,1352,%,smoked 8–17 days per month 1–2 cpd,58.6,58.6,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/87405690,http://dx.doi.org/10.1093/ntr/ntv258,,,,
367,2016,"USA,the United States",USA,USA,249,1,White;,White,,1012,%,smoked 8–17 days per month 3–5 cpd,67.6,67.6,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/87405690,http://dx.doi.org/10.1093/ntr/ntv258,,,,
368,2016,"USA,the United States",USA,USA,249,1,White;,White,,436,%,smoked 8–17 days per month ≥6 cpd,71.5,71.5,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/87405690,http://dx.doi.org/10.1093/ntr/ntv258,,,,
369,2016,"USA,the United States",USA,USA,249,1,White;,White,,2082,%,smoked 15–29 days per month 1–2 cpd,57.7,57.7,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/87405690,http://dx.doi.org/10.1093/ntr/ntv258,,,,
370,2016,"USA,the United States",USA,USA,249,1,White;,White,,2828,%,smoked 15–29 days per month 3–5 cpd,69.3,69.3,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/87405690,http://dx.doi.org/10.1093/ntr/ntv258,,,,
371,2016,"USA,the United States",USA,USA,249,1,White;,White,,1694,%,smoked 15–29 days per month ≥6 cpd,74.5,74.5,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/87405690,http://dx.doi.org/10.1093/ntr/ntv258,,,,
372,2016,"USA,the United States",USA,USA,249,1,Black or African American;,Black or African American,,2753,%,smoked 1–7 days per month 1–2 cpd,10.9,10.9,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/87405690,http://dx.doi.org/10.1093/ntr/ntv258,,,,
373,2016,"USA,the United States",USA,USA,249,1,Black or African American;,Black or African American,,1251,%,smoked 1–7 days per month 3–5 cpd,11.9,11.9,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/87405690,http://dx.doi.org/10.1093/ntr/ntv258,,,,
374,2016,"USA,the United States",USA,USA,249,1,Black or African American;,Black or African American,,558,%,smoked 1–7 days per month ≥6 cpd,12.7,12.7,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/87405690,http://dx.doi.org/10.1093/ntr/ntv258,,,,
375,2016,"USA,the United States",USA,USA,249,1,Black or African American;,Black or African American,,1352,%,smoked 8–17 days per month 1–2 cpd,13.2,13.2,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/87405690,http://dx.doi.org/10.1093/ntr/ntv258,,,,
376,2016,"USA,the United States",USA,USA,249,1,Black or African American;,Black or African American,,1012,%,smoked 8–17 days per month 3–5 cpd,13,13,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/87405690,http://dx.doi.org/10.1093/ntr/ntv258,,,,
377,2016,"USA,the United States",USA,USA,249,1,Black or African American;,Black or African American,,436,%,smoked 8–17 days per month ≥6 cpd,9,9,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/87405690,http://dx.doi.org/10.1093/ntr/ntv258,,,,
378,2016,"USA,the United States",USA,USA,249,1,Black or African American;,Black or African American,,2082,%,smoked 15–29 days per month 1–2 cpd,14,14,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/87405690,http://dx.doi.org/10.1093/ntr/ntv258,,,,
379,2016,"USA,the United States",USA,USA,249,1,Black or African American;,Black or African American,,2828,%,smoked 15–29 days per month 3–5 cpd,15.2,15.2,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/87405690,http://dx.doi.org/10.1093/ntr/ntv258,,,,
380,2016,"USA,the United States",USA,USA,249,1,Black or African American;,Black or African American,,1694,%,smoked 15–29 days per month ≥6 cpd,13.7,13.7,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/87405690,http://dx.doi.org/10.1093/ntr/ntv258,,,,
381,2016,"USA,the United States",USA,USA,249,1,; Hispanic,Hispanic,,2753,%,smoked 1–7 days per month 1–2 cpd,25.4,25.4,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/87405690,http://dx.doi.org/10.1093/ntr/ntv258,,,,
382,2016,"USA,the United States",USA,USA,249,1,; Hispanic,Hispanic,,1251,%,smoked 1–7 days per month 3–5 cpd,21.8,21.8,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/87405690,http://dx.doi.org/10.1093/ntr/ntv258,,,,
383,2016,"USA,the United States",USA,USA,249,1,; Hispanic,Hispanic,,558,%,smoked 1–7 days per month ≥6 cpd,20.7,20.7,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/87405690,http://dx.doi.org/10.1093/ntr/ntv258,,,,
384,2016,"USA,the United States",USA,USA,249,1,; Hispanic,Hispanic,,1352,%,smoked 8–17 days per month 1–2 cpd,22.7,22.7,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/87405690,http://dx.doi.org/10.1093/ntr/ntv258,,,,
385,2016,"USA,the United States",USA,USA,249,1,; Hispanic,Hispanic,,1012,%,smoked 8–17 days per month 3–5 cpd,15.1,15.1,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/87405690,http://dx.doi.org/10.1093/ntr/ntv258,,,,
386,2016,"USA,the United States",USA,USA,249,1,; Hispanic,Hispanic,,436,%,smoked 8–17 days per month ≥6 cpd,14,14,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/87405690,http://dx.doi.org/10.1093/ntr/ntv258,,,,
387,2016,"USA,the United States",USA,USA,249,1,; Hispanic,Hispanic,,2082,%,smoked 15–29 days per month 1–2 cpd,21.6,21.6,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/87405690,http://dx.doi.org/10.1093/ntr/ntv258,,,,
388,2016,"USA,the United States",USA,USA,249,1,; Hispanic,Hispanic,,2828,%,smoked 15–29 days per month 3–5 cpd,11.7,11.7,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/87405690,http://dx.doi.org/10.1093/ntr/ntv258,,,,
389,2016,"USA,the United States",USA,USA,249,1,; Hispanic,Hispanic,,1694,%,smoked 15–29 days per month ≥6 cpd,7.8,7.8,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/87405690,http://dx.doi.org/10.1093/ntr/ntv258,,,,
390,2016,"USA,the United States",USA,USA,249,1,Others;,Others,,2753,%,smoked 1–7 days per month 1–2 cpd,6.1,6.1,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/87405690,http://dx.doi.org/10.1093/ntr/ntv258,,,,
391,2016,"USA,the United States",USA,USA,249,1,Others;,Others,,1251,%,smoked 1–7 days per month 3–5 cpd,5.3,5.3,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/87405690,http://dx.doi.org/10.1093/ntr/ntv258,,,,
392,2016,"USA,the United States",USA,USA,249,1,Others;,Others,,558,%,smoked 1–7 days per month ≥6 cpd,4.9,4.9,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/87405690,http://dx.doi.org/10.1093/ntr/ntv258,,,,
393,2016,"USA,the United States",USA,USA,249,1,Others;,Others,,1352,%,smoked 8–17 days per month 1–2 cpd,5.5,5.5,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/87405690,http://dx.doi.org/10.1093/ntr/ntv258,,,,
394,2016,"USA,the United States",USA,USA,249,1,Others;,Others,,1012,%,smoked 8–17 days per month 3–5 cpd,4.3,4.3,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/87405690,http://dx.doi.org/10.1093/ntr/ntv258,,,,
395,2016,"USA,the United States",USA,USA,249,1,Others;,Others,,436,%,smoked 8–17 days per month ≥6 cpd,5.5,5.5,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/87405690,http://dx.doi.org/10.1093/ntr/ntv258,,,,
396,2016,"USA,the United States",USA,USA,249,1,Others;,Others,,2082,%,smoked 15–29 days per month 1–2 cpd,6.7,6.7,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/87405690,http://dx.doi.org/10.1093/ntr/ntv258,,,,
397,2016,"USA,the United States",USA,USA,249,1,Others;,Others,,2828,%,smoked 15–29 days per month 3–5 cpd,3.8,3.8,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/87405690,http://dx.doi.org/10.1093/ntr/ntv258,,,,
398,2016,"USA,the United States",USA,USA,249,1,Others;,Others,,1694,%,smoked 15–29 days per month ≥6 cpd,4,4,https://academic-oup-com.proxy.lib.ohio-state.edu/view-large/87405690,http://dx.doi.org/10.1093/ntr/ntv258,,,,
472,2016,USA,USA,USA,249,1,White; non-Hispanic,White,,13578,num,infertility yes,11681,86.02887023,https://tobaccocontrol.bmj.com/highwire/markup/152103/expansion?width=1000&height=500&iframe=true&postprocessors=highwire_tables%2Chighwire_reclass%2Chighwire_figures%2Chighwire_math%2Chighwire_inline_linked_media%2Chighwire_embed,http://dx.doi.org/10.1136/tobaccocontrol-2015-052510,1,"data of 93,676 postmenopausal women aged 50–79 enrolled in the Women's Health Initiative Observational Study (WHI OS) from 1993 to 1998 at 40 centres in the USA",,
473,2016,USA,USA,USA,249,1,White; non-Hispanic,White,,74914,num,infertility no,62555,83.5024161,https://tobaccocontrol.bmj.com/highwire/markup/152103/expansion?width=1000&height=500&iframe=true&postprocessors=highwire_tables%2Chighwire_reclass%2Chighwire_figures%2Chighwire_math%2Chighwire_inline_linked_media%2Chighwire_embed,http://dx.doi.org/10.1136/tobaccocontrol-2015-052510,1,"data of 93,676 postmenopausal women aged 50–79 enrolled in the Women's Health Initiative Observational Study (WHI OS) from 1993 to 1998 at 40 centres in the USA",,
474,2016,USA,USA,USA,249,1,White; non-Hispanic,White,,35739,num,age at menopause <50,29618,82.87305185,https://tobaccocontrol.bmj.com/highwire/markup/152103/expansion?width=1000&height=500&iframe=true&postprocessors=highwire_tables%2Chighwire_reclass%2Chighwire_figures%2Chighwire_math%2Chighwire_inline_linked_media%2Chighwire_embed,http://dx.doi.org/10.1136/tobaccocontrol-2015-052510,1,"data of 93,676 postmenopausal women aged 50–79 enrolled in the Women's Health Initiative Observational Study (WHI OS) from 1993 to 1998 at 40 centres in the USA",,
475,2016,USA,USA,USA,249,1,White; non-Hispanic,White,,43736,num,age at menopause ≥50,37670,86.13041888,https://tobaccocontrol.bmj.com/highwire/markup/152103/expansion?width=1000&height=500&iframe=true&postprocessors=highwire_tables%2Chighwire_reclass%2Chighwire_figures%2Chighwire_math%2Chighwire_inline_linked_media%2Chighwire_embed,http://dx.doi.org/10.1136/tobaccocontrol-2015-052510,1,"data of 93,676 postmenopausal women aged 50–79 enrolled in the Women's Health Initiative Observational Study (WHI OS) from 1993 to 1998 at 40 centres in the USA",,
476,2016,USA,USA,USA,249,1,Black or African American; non-Hispanic,Black or African American,,13578,num,infertility yes,861,6.34114008,https://tobaccocontrol.bmj.com/highwire/markup/152103/expansion?width=1000&height=500&iframe=true&postprocessors=highwire_tables%2Chighwire_reclass%2Chighwire_figures%2Chighwire_math%2Chighwire_inline_linked_media%2Chighwire_embed,http://dx.doi.org/10.1136/tobaccocontrol-2015-052510,1,"data of 93,676 postmenopausal women aged 50–79 enrolled in the Women's Health Initiative Observational Study (WHI OS) from 1993 to 1998 at 40 centres in the USA",,
477,2016,USA,USA,USA,249,1,Black or African American; non-Hispanic,Black or African American,,74914,num,infertility no,6232,8.318872307,https://tobaccocontrol.bmj.com/highwire/markup/152103/expansion?width=1000&height=500&iframe=true&postprocessors=highwire_tables%2Chighwire_reclass%2Chighwire_figures%2Chighwire_math%2Chighwire_inline_linked_media%2Chighwire_embed,http://dx.doi.org/10.1136/tobaccocontrol-2015-052510,1,"data of 93,676 postmenopausal women aged 50–79 enrolled in the Women's Health Initiative Observational Study (WHI OS) from 1993 to 1998 at 40 centres in the USA",,
478,2016,USA,USA,USA,249,1,Black or African American; non-Hispanic,Black or African American,,35739,num,age at menopause <50,3180,8.897842693,https://tobaccocontrol.bmj.com/highwire/markup/152103/expansion?width=1000&height=500&iframe=true&postprocessors=highwire_tables%2Chighwire_reclass%2Chighwire_figures%2Chighwire_math%2Chighwire_inline_linked_media%2Chighwire_embed,http://dx.doi.org/10.1136/tobaccocontrol-2015-052510,1,"data of 93,676 postmenopausal women aged 50–79 enrolled in the Women's Health Initiative Observational Study (WHI OS) from 1993 to 1998 at 40 centres in the USA",,
479,2016,USA,USA,USA,249,1,Black or African American; non-Hispanic,Black or African American,,43736,num,age at menopause ≥50,2754,6.296872142,https://tobaccocontrol.bmj.com/highwire/markup/152103/expansion?width=1000&height=500&iframe=true&postprocessors=highwire_tables%2Chighwire_reclass%2Chighwire_figures%2Chighwire_math%2Chighwire_inline_linked_media%2Chighwire_embed,http://dx.doi.org/10.1136/tobaccocontrol-2015-052510,1,"data of 93,676 postmenopausal women aged 50–79 enrolled in the Women's Health Initiative Observational Study (WHI OS) from 1993 to 1998 at 40 centres in the USA",,
480,2016,USA,USA,USA,249,1,; Hispanic,Hispanic,,13578,num,infertility yes,388,2.857563706,https://tobaccocontrol.bmj.com/highwire/markup/152103/expansion?width=1000&height=500&iframe=true&postprocessors=highwire_tables%2Chighwire_reclass%2Chighwire_figures%2Chighwire_math%2Chighwire_inline_linked_media%2Chighwire_embed,http://dx.doi.org/10.1136/tobaccocontrol-2015-052510,1,"data of 93,676 postmenopausal women aged 50–79 enrolled in the Women's Health Initiative Observational Study (WHI OS) from 1993 to 1998 at 40 centres in the USA",,
481,2016,USA,USA,USA,249,1,; Hispanic,Hispanic,,74914,num,infertility no,2898,3.868435806,https://tobaccocontrol.bmj.com/highwire/markup/152103/expansion?width=1000&height=500&iframe=true&postprocessors=highwire_tables%2Chighwire_reclass%2Chighwire_figures%2Chighwire_math%2Chighwire_inline_linked_media%2Chighwire_embed,http://dx.doi.org/10.1136/tobaccocontrol-2015-052510,1,"data of 93,676 postmenopausal women aged 50–79 enrolled in the Women's Health Initiative Observational Study (WHI OS) from 1993 to 1998 at 40 centres in the USA",,
482,2016,USA,USA,USA,249,1,; Hispanic,Hispanic,,35739,num,age at menopause <50,1452,4.06278855,https://tobaccocontrol.bmj.com/highwire/markup/152103/expansion?width=1000&height=500&iframe=true&postprocessors=highwire_tables%2Chighwire_reclass%2Chighwire_figures%2Chighwire_math%2Chighwire_inline_linked_media%2Chighwire_embed,http://dx.doi.org/10.1136/tobaccocontrol-2015-052510,1,"data of 93,676 postmenopausal women aged 50–79 enrolled in the Women's Health Initiative Observational Study (WHI OS) from 1993 to 1998 at 40 centres in the USA",,
483,2016,USA,USA,USA,249,1,; Hispanic,Hispanic,,43736,num,age at menopause ≥50,1348,3.082129138,https://tobaccocontrol.bmj.com/highwire/markup/152103/expansion?width=1000&height=500&iframe=true&postprocessors=highwire_tables%2Chighwire_reclass%2Chighwire_figures%2Chighwire_math%2Chighwire_inline_linked_media%2Chighwire_embed,http://dx.doi.org/10.1136/tobaccocontrol-2015-052510,1,"data of 93,676 postmenopausal women aged 50–79 enrolled in the Women's Health Initiative Observational Study (WHI OS) from 1993 to 1998 at 40 centres in the USA",,
484,2016,USA,USA,USA,249,1,Others; non-Hispanic,Others,,13578,num,infertility yes,648,4.772425983,https://tobaccocontrol.bmj.com/highwire/markup/152103/expansion?width=1000&height=500&iframe=true&postprocessors=highwire_tables%2Chighwire_reclass%2Chighwire_figures%2Chighwire_math%2Chighwire_inline_linked_media%2Chighwire_embed,http://dx.doi.org/10.1136/tobaccocontrol-2015-052510,1,"data of 93,676 postmenopausal women aged 50–79 enrolled in the Women's Health Initiative Observational Study (WHI OS) from 1993 to 1998 at 40 centres in the USA",,
